Yapılacak şey;Şehir;Yer Adı;Açıklama (TR);Description (EN);
İngilizceden çevirsin;Porto;Praia do Carneiro;Aksiyon dolu bir gün geçirmek isteyenler için Praia do Carneiro ideal bir tercih. Foz'daki bu mekanda hem fiziksel aktiviteler hem de interaktif deneyimlerle enerjinizi yükseltebilirsiniz.;Praia do Carneiro is a great choice for those seeking fun and adventure in Porto. This venue in Foz promises enjoyable hours with its adrenaline-filled activities, educational experiences and family-friendly events.;
İngilizceden çevirsin;Napoli;Procida;Aksiyon dolu bir gün geçirmek isteyenler için Procida ideal bir tercih. Procida (Günübirlik)'daki bu mekanda hem fiziksel aktiviteler hem de interaktif deneyimlerle enerjinizi yükseltebilirsiniz.;Procida is a great choice for those seeking fun and adventure in Napoli. This venue in Procida (Günübirlik) promises enjoyable hours with its adrenaline-filled activities, educational experiences and family-friendly events.;
İngilizceden çevirsin;Lyon;Saône River Cruise;Aksiyon dolu bir gün geçirmek isteyenler için Saône River Cruise ideal bir tercih. Liman'daki bu mekanda hem fiziksel aktiviteler hem de interaktif deneyimlerle enerjinizi yükseltebilirsiniz.;Saône River Cruise is a great choice for those seeking fun and adventure in Lyon. This venue in Liman promises enjoyable hours with its adrenaline-filled activities, educational experiences and family-friendly events.;
İngilizceden çevirsin;Marakeş;Tanneries;Aksiyon dolu bir gün geçirmek isteyenler için Tanneries ideal bir tercih. Medina'daki bu mekanda hem fiziksel aktiviteler hem de interaktif deneyimlerle enerjinizi yükseltebilirsiniz.;Tanneries is a great choice for those seeking fun and adventure in Marakeş. This venue in Medina promises enjoyable hours with its adrenaline-filled activities, educational experiences and family-friendly events.;
İngilizceden çevirsin;Zürih;Thermalbad & Spa Zürich;Aksiyon dolu bir gün geçirmek isteyenler için Thermalbad & Spa Zürich ideal bir tercih. Hürlimann'daki bu mekanda hem fiziksel aktiviteler hem de interaktif deneyimlerle enerjinizi yükseltebilirsiniz.;Thermalbad & Spa Zürich is a great choice for those seeking fun and adventure in Zürih. This venue in Hürlimann promises enjoyable hours with its adrenaline-filled activities, educational experiences and family-friendly events.;
İngilizceden çevirsin;Porto;Vila Nova de Gaia - Port Mahzenleri;Aksiyon dolu bir gün geçirmek isteyenler için Vila Nova de Gaia - Port Mahzenleri ideal bir tercih. Gaia'daki bu mekanda hem fiziksel aktiviteler hem de interaktif deneyimlerle enerjinizi yükseltebilirsiniz.;Port wine cellars! Taylor's, Sandeman, Graham's, Ferreira. Tasting tours a must.;
İngilizceden çevirsin;Lyon;Amphithéâtre des Trois Gaules;Geçmişin görkemini günümüze taşıyan Amphithéâtre des Trois Gaules, Croix-Rousse'nın en önemli tarihi yapılarından biri. Restorasyonlarla korunan özgün dokusu, dönemin yaşam tarzını yansıtan eserleri ve muhteşem mimarisiyle keşfedilmeyi bekliyor.;Oldest amphitheater in Lyon (19 BC). Known as place where Christian martyrs were killed.;
İngilizceden çevirsin;Venedik;Arsenale di Venezia;Geçmişin görkemini günümüze taşıyan Arsenale di Venezia, Castello'nın en önemli tarihi yapılarından biri. Restorasyonlarla korunan özgün dokusu, dönemin yaşam tarzını yansıtan eserleri ve muhteşem mimarisiyle keşfedilmeyi bekliyor.;Old shipyard, source of Venice's power. Once produced one ship a day. Now art space.;
İngilizceden çevirsin;Lyon;Hôtel de Ville;Geçmişin görkemini günümüze taşıyan Hôtel de Ville, Presqu'île'nın en önemli tarihi yapılarından biri. Restorasyonlarla korunan özgün dokusu, dönemin yaşam tarzını yansıtan eserleri ve muhteşem mimarisiyle keşfedilmeyi bekliyor.;Lyon City Hall. 17th century architecture, restored after fire. Opposite Opera House.;
İngilizceden çevirsin;Marsilya;InterContinental Marseille - Hotel Dieu;Geçmişin görkemini günümüze taşıyan InterContinental Marseille - Hotel Dieu, Le Panier'nın en önemli tarihi yapılarından biri. Restorasyonlarla korunan özgün dokusu, dönemin yaşam tarzını yansıtan eserleri ve muhteşem mimarisiyle keşfedilmeyi bekliyor.;Old hospital building, now luxury hotel. View of Notre-Dame from terrace is iconic.;
İngilizceden çevirsin;Marakeş;Mouassine Fountain;Geçmişin görkemini günümüze taşıyan Mouassine Fountain, Medina'nın en önemli tarihi yapılarından biri. Restorasyonlarla korunan özgün dokusu, dönemin yaşam tarzını yansıtan eserleri ve muhteşem mimarisiyle keşfedilmeyi bekliyor.;Carrying the glory of the past to the present, Mouassine Fountain is one of Medina's most important historical structures. Its preserved original texture and magnificent architecture await discovery.;
İngilizceden çevirsin;Sevilla;Murallas de Sevilla;Geçmişin görkemini günümüze taşıyan Murallas de Sevilla, Macarena'nın en önemli tarihi yapılarından biri. Restorasyonlarla korunan özgün dokusu, dönemin yaşam tarzını yansıtan eserleri ve muhteşem mimarisiyle keşfedilmeyi bekliyor.;Carrying the glory of the past to the present, Murallas de Sevilla is one of Macarena's most important historical structures. Its preserved original texture and magnificent architecture await discovery.;
İngilizceden çevirsin;Venedik;Ponte delle Tette;Geçmişin görkemini günümüze taşıyan Ponte delle Tette, San Polo'nın en önemli tarihi yapılarından biri. Restorasyonlarla korunan özgün dokusu, dönemin yaşam tarzını yansıtan eserleri ve muhteşem mimarisiyle keşfedilmeyi bekliyor.;'Bridge of Tits'. Area where courtesans were allowed to stand topless in Middle Ages.;
İngilizceden çevirsin;Madrid;Puerta de Alcalá;Geçmişin görkemini günümüze taşıyan Puerta de Alcalá, Salamanca'nın en önemli tarihi yapılarından biri. Restorasyonlarla korunan özgün dokusu, dönemin yaşam tarzını yansıtan eserleri ve muhteşem mimarisiyle keşfedilmeyi bekliyor.;Carrying the glory of the past to the present, Puerta de Alcalá is one of Salamanca's most important historical structures. Its preserved original texture and magnificent architecture await discovery.;
İngilizceden çevirsin;Madrid;Toledo, Spain Historic City;Geçmişin görkemini günümüze taşıyan Toledo, Spain Historic City, Günübirlik'nın en önemli tarihi yapılarından biri. Restorasyonlarla korunan özgün dokusu, dönemin yaşam tarzını yansıtan eserleri ve muhteşem mimarisiyle keşfedilmeyi bekliyor.;"""City of Three Cultures"". Christian, Muslim, Jewish heritage. Streets like labyrinth.";
İngilizceden çevirsin;Marsilya;Anse de la Fausse Monnaie;Güneş, deniz ve eğlencenin bir arada olduğu Anse de la Fausse Monnaie, Corniche'nın en popüler plajlarından. Su sporları, sahil voleybolu ve gün batımı partileriyle her yaştan ziyaretçiye hitap ediyor.;Anse de la Fausse Monnaie offers one of the best beach experiences in Marsilya. This beach in Corniche is essential for summer days with its crystal clear waters, clean sand and surrounding beach bars.;
İngilizceden çevirsin;Nice;Coco Beach;Güneş, deniz ve eğlencenin bir arada olduğu Coco Beach, Port'nın en popüler plajlarından. Su sporları, sahil voleybolu ve gün batımı partileriyle her yaştan ziyaretçiye hitap ediyor.;Coco Beach offers one of the best beach experiences in Nice. This beach in Port is essential for summer days with its crystal clear waters, clean sand and surrounding beach bars.;
İngilizceden çevirsin;Napoli;Gay-Odin Chocolate;Otantik lezzetlerin adresi Gay-Odin Chocolate, Centro bölgesinin en çok tercih edilen mekanlarından. Sıcak ambiyansı, özenli servisi ve zengin menüsüyle hem yerel halkın hem turistlerin vazgeçilmezi haline gelmiş.;Gay-Odin Chocolate hosts gourmets in Centro as one of the best representatives of Napoli's cuisine. Fresh ingredients from local farmers, recipes passed down through generations, and masterful presentations satisfy every palate.;
İngilizceden çevirsin;Lucerne;Gotthard Panorama Express (Başlangıç);Aksiyon dolu bir gün geçirmek isteyenler için Gotthard Panorama Express (Başlangıç) ideal bir tercih. İstasyon'daki bu mekanda hem fiziksel aktiviteler hem de interaktif deneyimlerle enerjinizi yükseltebilirsiniz.;Gotthard Panorama Express (Başlangıç) is a great choice for those seeking fun and adventure in Lucerne. This venue in İstasyon promises enjoyable hours with its adrenaline-filled activities, educational experiences and family-friendly events.;
İngilizceden çevirsin;Hong Kong;Hong Kong Tramway;Aksiyon dolu bir gün geçirmek isteyenler için Hong Kong Tramway ideal bir tercih. HK Island'daki bu mekanda hem fiziksel aktiviteler hem de interaktif deneyimlerle enerjinizi yükseltebilirsiniz.;Hong Kong Tramway is a great choice for those seeking fun and adventure in Hong Kong. This venue in HK Island promises enjoyable hours with its adrenaline-filled activities, educational experiences and family-friendly events.;
İngilizceden çevirsin;İstanbul;İstanbul Aquarium;Aksiyon dolu bir gün geçirmek isteyenler için İstanbul Aquarium ideal bir tercih. Florya'daki bu mekanda hem fiziksel aktiviteler hem de interaktif deneyimlerle enerjinizi yükseltebilirsiniz.;İstanbul Aquarium is a great choice for those seeking fun and adventure in İstanbul. This venue in Florya promises enjoyable hours with its adrenaline-filled activities, educational experiences and family-friendly events.;
İngilizceden çevirsin;Napoli;Napoli Sotterranea;Aksiyon dolu bir gün geçirmek isteyenler için Napoli Sotterranea ideal bir tercih. Centro Storico'daki bu mekanda hem fiziksel aktiviteler hem de interaktif deneyimlerle enerjinizi yükseltebilirsiniz.;Napoli Sotterranea is a great choice for those seeking fun and adventure in Napoli. This venue in Centro Storico promises enjoyable hours with its adrenaline-filled activities, educational experiences and family-friendly events.;
İngilizceden çevirsin;Sevilla;Antiquarium;Geçmişin görkemini günümüze taşıyan Antiquarium, Centro'nın en önemli tarihi yapılarından biri. Restorasyonlarla korunan özgün dokusu, dönemin yaşam tarzını yansıtan eserleri ve muhteşem mimarisiyle keşfedilmeyi bekliyor.;Antiquarium is a magnificent structure witnessing Sevilla's rich history. This monumental venue in Centro enchants both history buffs and architecture lovers with its centuries-old architecture and cultural significance.;
İngilizceden çevirsin;Sevilla;Casa de Pilatos;Geçmişin görkemini günümüze taşıyan Casa de Pilatos, Centro'nın en önemli tarihi yapılarından biri. Restorasyonlarla korunan özgün dokusu, dönemin yaşam tarzını yansıtan eserleri ve muhteşem mimarisiyle keşfedilmeyi bekliyor.;Carrying the glory of the past to the present, Casa de Pilatos is one of Centro's most important historical structures. Its preserved original texture and magnificent architecture await discovery.;
İngilizceden çevirsin;Napoli;Castel Nuovo;Geçmişin görkemini günümüze taşıyan Castel Nuovo, Porto'nın en önemli tarihi yapılarından biri. Restorasyonlarla korunan özgün dokusu, dönemin yaşam tarzını yansıtan eserleri ve muhteşem mimarisiyle keşfedilmeyi bekliyor.;Carrying the glory of the past to the present, Castel Nuovo is one of Porto's most important historical structures. Its preserved original texture and magnificent architecture await discovery.;
İngilizceden çevirsin;Porto;Igreja de São Francisco;Geçmişin görkemini günümüze taşıyan Igreja de São Francisco, Ribeira'nın en önemli tarihi yapılarından biri. Restorasyonlarla korunan özgün dokusu, dönemin yaşam tarzını yansıtan eserleri ve muhteşem mimarisiyle keşfedilmeyi bekliyor.;300kg gold gilded interior! Gothic exterior, baroque inside. Bone chapel underground.;
İngilizceden çevirsin;Sevilla;Palacio de la Condesa de Lebrija;Geçmişin görkemini günümüze taşıyan Palacio de la Condesa de Lebrija, Centro'nın en önemli tarihi yapılarından biri. Restorasyonlarla korunan özgün dokusu, dönemin yaşam tarzını yansıtan eserleri ve muhteşem mimarisiyle keşfedilmeyi bekliyor.;Palace with floors covered in Roman mosaics from Italica. 'Best paved palace in Europe'.;
İngilizceden çevirsin;Seul;Bukhansan National Park;Aksiyon dolu bir gün geçirmek isteyenler için Bukhansan National Park ideal bir tercih. Goyang'daki bu mekanda hem fiziksel aktiviteler hem de interaktif deneyimlerle enerjinizi yükseltebilirsiniz.;Bukhansan National Park is a great choice for those seeking fun and adventure in Seul. This venue in Goyang promises enjoyable hours with its adrenaline-filled activities, educational experiences and family-friendly events.;
İngilizceden çevirsin;Singapur;River Wonders;Aksiyon dolu bir gün geçirmek isteyenler için River Wonders ideal bir tercih. Mandai'daki bu mekanda hem fiziksel aktiviteler hem de interaktif deneyimlerle enerjinizi yükseltebilirsiniz.;River Wonders is a great choice for those seeking fun and adventure in Singapur. This venue in Mandai promises enjoyable hours with its adrenaline-filled activities, educational experiences and family-friendly events.;
İngilizceden çevirsin;Nice;Sentier du Littoral (Coastal Path);Aksiyon dolu bir gün geçirmek isteyenler için Sentier du Littoral (Coastal Path) ideal bir tercih. Coco Beach'daki bu mekanda hem fiziksel aktiviteler hem de interaktif deneyimlerle enerjinizi yükseltebilirsiniz.;Sentier du Littoral (Coastal Path) is a great choice for those seeking fun and adventure in Nice. This venue in Coco Beach promises enjoyable hours with its adrenaline-filled activities, educational experiences and family-friendly events.;
İngilizceden çevirsin;Marsilya;Plage des Catalans;Güneş, deniz ve eğlencenin bir arada olduğu Plage des Catalans, Sahil'nın en popüler plajlarından. Su sporları, sahil voleybolu ve gün batımı partileriyle her yaştan ziyaretçiye hitap ediyor.;Plage des Catalans offers one of the best beach experiences in Marsilya. This beach in Sahil is essential for summer days with its crystal clear waters, clean sand and surrounding beach bars.;
İngilizceden çevirsin;Marsilya;Plage du Prado;Güneş, deniz ve eğlencenin bir arada olduğu Plage du Prado, Prado'nın en popüler plajlarından. Su sporları, sahil voleybolu ve gün batımı partileriyle her yaştan ziyaretçiye hitap ediyor.;Plage du Prado offers one of the best beach experiences in Marsilya. This beach in Prado is essential for summer days with its crystal clear waters, clean sand and surrounding beach bars.;
İngilizceden çevirsin;Marsilya;Pointe Rouge Beach;Güneş, deniz ve eğlencenin bir arada olduğu Pointe Rouge Beach, Pointe Rouge'nın en popüler plajlarından. Su sporları, sahil voleybolu ve gün batımı partileriyle her yaştan ziyaretçiye hitap ediyor.;Pointe Rouge Beach offers one of the best beach experiences in Marsilya. This beach in Pointe Rouge is essential for summer days with its crystal clear waters, clean sand and surrounding beach bars.;
İngilizceden çevirsin;Napoli;Capri;Aksiyon dolu bir gün geçirmek isteyenler için Capri ideal bir tercih. Capri (Günübirlik)'daki bu mekanda hem fiziksel aktiviteler hem de interaktif deneyimlerle enerjinizi yükseltebilirsiniz.;Capri is a great choice for those seeking fun and adventure in Napoli. This venue in Capri (Günübirlik) promises enjoyable hours with its adrenaline-filled activities, educational experiences and family-friendly events.;
İngilizceden çevirsin;Madrid;Rosi La Loca;Kokteyl ve tapas çeşitlerinin yanı sıra paella gibi İspanyol lezzetlerinin servis edildiği maksimalist, rengarenk mekan.;Kokteyl ve tapas çeşitlerinin yanı sıra paella gibi İspanyol lezzetlerinin servis edildiği maksimalist, rengarenk mekan.;
İngilizceden çevirsin;Napoli;Gino Sorbillo Pizzeria;Otantik lezzetlerin adresi Gino Sorbillo Pizzeria, Centro bölgesinin en çok tercih edilen mekanlarından. Sıcak ambiyansı, özenli servisi ve zengin menüsüyle hem yerel halkın hem turistlerin vazgeçilmezi haline gelmiş.;Da Michele alternative! More varied menu, same quality. Gino Sorbillo famous chef.;
İngilizceden çevirsin;Marsilya;Abbaye Saint-Victor;Geçmişin görkemini günümüze taşıyan Abbaye Saint-Victor, Vieux Port'nın en önemli tarihi yapılarından biri. Restorasyonlarla korunan özgün dokusu, dönemin yaşam tarzını yansıtan eserleri ve muhteşem mimarisiyle keşfedilmeyi bekliyor.;One of France's oldest Christian sites from 5th century. Underground crypts impressive.;
İngilizceden çevirsin;Seul;Deoksugung Palace;Geçmişin görkemini günümüze taşıyan Deoksugung Palace, Jung-gu'nın en önemli tarihi yapılarından biri. Restorasyonlarla korunan özgün dokusu, dönemin yaşam tarzını yansıtan eserleri ve muhteşem mimarisiyle keşfedilmeyi bekliyor.;Carrying the glory of the past to the present, Deoksugung Palace is one of Jung-gu's most important historical structures. Its preserved original texture and magnificent architecture await discovery.;
İngilizceden çevirsin;Venedik;İç Çekiş Köprüsü;Geçmişin görkemini günümüze taşıyan İç Çekiş Köprüsü, San Marco'nın en önemli tarihi yapılarından biri. Restorasyonlarla korunan özgün dokusu, dönemin yaşam tarzını yansıtan eserleri ve muhteşem mimarisiyle keşfedilmeyi bekliyor.;1600 - Prisoners' last view moment. Legend says lovers' kiss under it equals eternal love.;
İngilizceden çevirsin;Marakeş;Koutoubia Camii;Geçmişin görkemini günümüze taşıyan Koutoubia Camii, Medina'nın en önemli tarihi yapılarından biri. Restorasyonlarla korunan özgün dokusu, dönemin yaşam tarzını yansıtan eserleri ve muhteşem mimarisiyle keşfedilmeyi bekliyor.;Koutoubia Camii is a magnificent structure witnessing Marakeş's rich history. This monumental venue in Medina enchants both history buffs and architecture lovers with its centuries-old architecture and cultural significance.;
İngilizceden çevirsin;Lyon;Saint George Church;Geçmişin görkemini günümüze taşıyan Saint George Church, Vieux Lyon'nın en önemli tarihi yapılarından biri. Restorasyonlarla korunan özgün dokusu, dönemin yaşam tarzını yansıtan eserleri ve muhteşem mimarisiyle keşfedilmeyi bekliyor.;Saint George Church is a magnificent structure witnessing Lyon's rich history. This monumental venue in Vieux Lyon enchants both history buffs and architecture lovers with its centuries-old architecture and cultural significance.;
İngilizceden çevirsin;Venedik;San Marco Bazilikası;Geçmişin görkemini günümüze taşıyan San Marco Bazilikası, San Marco'nın en önemli tarihi yapılarından biri. Restorasyonlarla korunan özgün dokusu, dönemin yaşam tarzını yansıtan eserleri ve muhteşem mimarisiyle keşfedilmeyi bekliyor.;Byzantine mosaic masterpiece. 8000m² gold mosaics! Pala d'Oro altar magnificent.;
İngilizceden çevirsin;Hong Kong;Big Buddha;Geçmişin görkemini günümüze taşıyan Big Buddha, Lantau'nın en önemli tarihi yapılarından biri. Restorasyonlarla korunan özgün dokusu, dönemin yaşam tarzını yansıtan eserleri ve muhteşem mimarisiyle keşfedilmeyi bekliyor.;Carrying the glory of the past to the present, Big Buddha is one of Lantau's most important historical structures. Its preserved original texture and magnificent architecture await discovery.;
İngilizceden çevirsin;Atina;Hephaistos Tapınağı;Geçmişin görkemini günümüze taşıyan Hephaistos Tapınağı, Antik Agora'nın en önemli tarihi yapılarından biri. Restorasyonlarla korunan özgün dokusu, dönemin yaşam tarzını yansıtan eserleri ve muhteşem mimarisiyle keşfedilmeyi bekliyor.;Best preserved temple of Ancient Greece! 449 BC. Started 2 years before Parthenon.;
İngilizceden çevirsin;Bangkok;Phra Sumen Fort;Geçmişin görkemini günümüze taşıyan Phra Sumen Fort, Banglamphu'nın en önemli tarihi yapılarından biri. Restorasyonlarla korunan özgün dokusu, dönemin yaşam tarzını yansıtan eserleri ve muhteşem mimarisiyle keşfedilmeyi bekliyor.;Carrying the glory of the past to the present, Phra Sumen Fort is one of Banglamphu's most important historical structures. Its preserved original texture and magnificent architecture await discovery.;
İngilizceden çevirsin;Atina;Roman Agora;Geçmişin görkemini günümüze taşıyan Roman Agora, Plaka'nın en önemli tarihi yapılarından biri. Restorasyonlarla korunan özgün dokusu, dönemin yaşam tarzını yansıtan eserleri ve muhteşem mimarisiyle keşfedilmeyi bekliyor.;Roman era market place. Octagonal 'Tower of the Winds' is world's first weather station.;
İngilizceden çevirsin;Berlin;Sachsenhausen Anıtı;Geçmişin görkemini günümüze taşıyan Sachsenhausen Anıtı, Oranienburg'nın en önemli tarihi yapılarından biri. Restorasyonlarla korunan özgün dokusu, dönemin yaşam tarzını yansıtan eserleri ve muhteşem mimarisiyle keşfedilmeyi bekliyor.;Former Nazi concentration camp. Difficult but necessary visit. Closest camp to Berlin.;
İngilizceden çevirsin;Amsterdam;The Oude Kerk;Geçmişin görkemini günümüze taşıyan The Oude Kerk, De Wallen'nın en önemli tarihi yapılarından biri. Restorasyonlarla korunan özgün dokusu, dönemin yaşam tarzını yansıtan eserleri ve muhteşem mimarisiyle keşfedilmeyi bekliyor.;Amsterdam's oldest building (1306). Right in middle of Red Light District! Center of contrasts.;
İngilizceden çevirsin;Budapeşte;Vajdahunyad Castle;Geçmişin görkemini günümüze taşıyan Vajdahunyad Castle, City Park'nın en önemli tarihi yapılarından biri. Restorasyonlarla korunan özgün dokusu, dönemin yaşam tarzını yansıtan eserleri ve muhteşem mimarisiyle keşfedilmeyi bekliyor.;Fairytale castle complex in City Park. Mixture of different architectural styles.;
İngilizceden çevirsin;Atina;Pnyx Hill;Geçmişin görkemini günümüze taşıyan Pnyx Hill, Akropolis'nın en önemli tarihi yapılarından biri. Restorasyonlarla korunan özgün dokusu, dönemin yaşam tarzını yansıtan eserleri ve muhteşem mimarisiyle keşfedilmeyi bekliyor.;Pnyx Hill is a magnificent structure witnessing Atina's rich history. This monumental venue in Akropolis enchants both history buffs and architecture lovers with its centuries-old architecture and cultural significance.;
İngilizceden çevirsin;Atina;Arch of Hadrian;Geçmişin görkemini günümüze taşıyan Arch of Hadrian, Syntagma'nın en önemli tarihi yapılarından biri. Restorasyonlarla korunan özgün dokusu, dönemin yaşam tarzını yansıtan eserleri ve muhteşem mimarisiyle keşfedilmeyi bekliyor.;Carrying the glory of the past to the present, Arch of Hadrian is one of Syntagma's most important historical structures. Its preserved original texture and magnificent architecture await discovery.;
