Şehir,Yer Adı,Kategori,Açıklama (TR),Description (EN)
Amsterdam,Cafe Chris,Bar,"Cafe Chris, Jordaan gece hayatının nabzını tutan, enerjisi yüksek bir mekan. Özel kokteylleri, müziği ve canlı atmosferiyle arkadaşlarınızla keyifli vakit geçirebileceğiniz popüler bir adres.","Cafe Chris is one of the most exciting stops in Amsterdam's nightlife. This venue in Jordaan adds color to the night with its special cocktails, live music and energetic atmosphere."
Amsterdam,Cafe Pollux,Bar,"Prins Hendrikkade üzerinde, gerçek Amsterdam ruhunu yaşatan tarihi bir ""kahverengi kafe"". Jukebox'ı ve Salı akşamları düzenlenen eğlenceli bingo geceleriyle ünlü.","Dark, funky haunt for coffee, breakfast & lunch, plus a lively pub scene in the evening."
Amsterdam,Cafe Sonneveld,Cafe,"Cafe Sonneveld, De Pijp gece hayatının nabzını tutan, enerjisi yüksek bir mekan. Özel kokteylleri, müziği ve canlı atmosferiyle arkadaşlarınızla keyifli vakit geçirebileceğiniz popüler bir adres.","Cafe Sonneveld is one of the most exciting stops in Amsterdam's nightlife. This venue in De Pijp adds color to the night with its special cocktails, live music and energetic atmosphere."
Amsterdam,Café Chris,Bar,"Dating back to 1624, this cozy, wood-paneled haunt features beer on tap & a pool table.","Dating back to 1624, this cozy, wood-paneled haunt features beer on tap & a pool table."
Amsterdam,Café De Dokter,Cafe,"Amsterdam'ın en küçük pub'ı (18m2). 1798'den beri değişmeyen antika dekoru, tozlu şişeleri ve fonda çalan caz müziğiyle zamanın durduğu yer.","Quaint, storied bar with vintage decor serving a variety of beers, including drafts, plus cocktails."
Amsterdam,Café Enté,Cafe,Jordaan'da yeni nesil bir mahalle pub'ı (nouveau kroeg). Şık ama samimi ortamında Fransız bistro lezzetleri ve ev yapımı sosisler sunuyor.,Amsterdam içindeki popüler mekanlardan biri. 4.8 puan ve 174 yorum ile ziyaretçilerin beğenisini kazanmış.
Amsterdam,Café Kompleet | Buurtcafé met Nederlandse keuken,Cafe,"Gerçek bir Hollanda deneyimi (""Oer-Hollandse""). Uygun fiyatlı geleneksel Hollanda yemekleri ve samimi ortamıyla yerlilerin favorisi.",Amsterdam içindeki popüler mekanlardan biri. 4.8 puan ve 257 yorum ile ziyaretçilerin beğenisini kazanmış.
Amsterdam,Café de Klos,Cafe,"Amsterdam'ın en meşhur kaburgacısı. Loş ışıkları, kasap tarzı sunumu ve efsanevi dumanlı lezzetleriyle et severlerin kentin en sevdiği gizli duraklarından biri.",A legendary Amsterdam institution famous for its smoked ribs and rustic atmosphere. It's a no-nonsense spot where the focus is entirely on exceptional meat and great beer.
Amsterdam,Café de Vergulde Gaper,Cafe,Jordaan mahallesindeki en eski 'kahverengi kafelerden' biri. Kanal manzaralı terasında oturup Hollanda birası ve bitterballen eşliğinde yerel hayatı izlemek gibisi yok.,"A classic Jordaan 'brown cafe' located on a beautiful corner. Ideal for a canal-side beer, traditional snacks like bitterballen, and watching the boats go by."
Amsterdam,Cape Town Social Club,Restoran,Amsterdam'da Güney Afrika rüzgarı. Deniz levreği ceviche gibi rafine lezzetler ve özel kokteyller sunan şık bir fine-dining durağı.,Amsterdam içindeki popüler mekanlardan biri. 4.8 puan ve 328 yorum ile ziyaretçilerin beğenisini kazanmış.
Amsterdam,Casa Lisa,Restoran,"Duivendrecht'te gizli bir tapas cenneti. İspanyol bir çiftin işlettiği mekan, sıcak atmosferi ve zengin vejetaryen seçenekleriyle ünlü.",Amsterdam içindeki popüler mekanlardan biri. 4.8 puan ve 179 yorum ile ziyaretçilerin beğenisini kazanmış.
Amsterdam,CatuaBar Amsterdam,Restoran,Güney Amerika ve Güney Afrika mutfaklarını harmanlayan füzyon bir restoran. Brezilya peynirli suflesi ve yaratıcı kokteylleriyle egzotik bir deneyim.,Amsterdam içindeki popüler mekanlardan biri. 5 puan ve 393 yorum ile ziyaretçilerin beğenisini kazanmış.
Amsterdam,Chef Adrienne | Private Dining Amsterdam,Restoran,"Tarihi bir konakta, Fransız ve İtalyan teknikleriyle hazırlanan özel akşam yemekleri. Şef Adrienne'in kişisel dokunuşlarıyla ev sıcaklığında lüks.","Modern French & Italian dishes with global flourishes, served in an elegant private dining room."
Amsterdam,Chez Rosie,Cafe,"Kinkerstraat'ta, Şef Rose Deglon imzalı modern bir Fransız pastanesi. Menüsü günlük değişiyor ama fıstıklı tartı ve kişleri her zaman efsane.",Amsterdam içindeki popüler mekanlardan biri. 4.9 puan ve 285 yorum ile ziyaretçilerin beğenisini kazanmış.
Amsterdam,Ciel Bleu,Restoran,"Hotel Okura'nın 23. katında, iki Michelin yıldızlı gastronomi tapınağı. Panoramik şehir manzarası eşliğinde unutulmaz bir lezzet yolculuğu.",Posh venue on the 23rd floor of the Hotel Okura offering creative European fare & views of the city.
Amsterdam,Coffee Bru,Cafe,"Amsterdam Oost'un kalbinde, nitelikli kahve ve vegan dostu tatlılar sunan popüler bir mahalle kahvecisi. Rahat ortamıyla çalışmak için ideal.",Amsterdam içindeki popüler mekanlardan biri. 4.8 puan ve 255 yorum ile ziyaretçilerin beğenisini kazanmış.
Amsterdam,Colette's Private Dining,Restoran,"Sadece tek bir gruba hizmet veren, size özel bir restoran deneyimi. Fransız esintili menüsü ve Colette'in zarif ev sahipliğiyle kutlamalar için mükemmel.",Amsterdam içindeki popüler mekanlardan biri. 4.9 puan ve 93 yorum ile ziyaretçilerin beğenisini kazanmış.
Amsterdam,Coster Diamonds,Deneyim,Dünyanın en eski elmas parlatma fabrikalarından biri. Elmasların nasıl kesildiğini görebileceğiniz ücretsiz turlar sunar.,One of the world's oldest diamond polishing factories. Offers free tours where you can see how diamonds are cut.
Amsterdam,Craft Wine,Deneyim,Yerel kültürü keşfetmek ve otantik anılar biriktirmek için kaçırılmaması gereken bir deneyim.,Amsterdam içindeki popüler mekanlardan biri. 5 puan ve 106 yorum ile ziyaretçilerin beğenisini kazanmış.
Amsterdam,Dak Showroom by Dak Coffee Roasters,Cafe,"Dak Coffee Roasters'ın fütüristik tasarımlı showroom'u. Ödüllü kahve çekirdeklerini yerinde deneyimleyebileceğiniz, kahve tutkunları için bir laboratuvar.",Amsterdam içindeki popüler mekanlardan biri. 4.8 puan ve 203 yorum ile ziyaretçilerin beğenisini kazanmış.
Amsterdam,Dam Meydanı (Dam Square),Deneyim,"Amsterdam'ın kalbi ve en ünlü meydanı. Royal Palace, Nieuwe Kerk ve Ulusal Anıt burada yer alır. Her zaman canlı ve hareketlidir.","The heart of Amsterdam and its most famous square. Home to the Royal Palace, Nieuwe Kerk, and the National Monument. Always lively and bustling."
Amsterdam,De 9 Straatjes,Cafe,"Ana kanalları birbirine bağlayan, butik dükkanlar, antika mağazaları ve şık kafelerle dolu dokuz dar sokak. Alışverişten ziyade bir atmosfer keşfi.","Nine picturesque alleys connecting the main canals, packed with unique boutiques, vintage stores, and cozy cafes. A perfect spot for a scenic wander and authentic local shopping."
Amsterdam,De Kas,Restoran,"Bölgede yetişen ürünlerle hazırlanan organik Akdeniz yemeklerinin servis edildiği, bahçe içinde yer alan şık sera.","Bölgede yetişen ürünlerle hazırlanan organik Akdeniz yemeklerinin servis edildiği, bahçe içinde yer alan şık sera."
Amsterdam,De Laatste Kruimel,Restoran,Adı gibi 'son kırıntısına kadar' yiyeceğiniz nefis pastalar ve sandviçler. Kanala bakan minik balkonu ve rustik dekorasyonuyla kentin en şirin kafesi.,"A tiny, rustic bakery famous for its overflowing display of handmade cakes, quiches, and scones. Try to snag the small balcony overlooking the canal."
Amsterdam,"De Nada - Music, Wine & Food Bar",Bar,"Doğal şaraplar, Portekiz esintili atıştırmalıklar ve plaklardan yükselen müzik. Sanatçıların ve müzikseverlerin buluşma noktası.",Amsterdam içindeki popüler mekanlardan biri. 4.8 puan ve 190 yorum ile ziyaretçilerin beğenisini kazanmış.
Amsterdam,De Negen Straatjes (9 Sokak),Deneyim,"Kanal kuşağını kesen dokuz küçük sokak. Bağımsız tasarımcıların, vintage dükkanların ve yerel kafelerin merkezidir.","Nine small streets intersecting the canal belt. The center for independent designers, vintage shops, and local cafes."
Amsterdam,De Pijp Mahallesi,Bar,"De Pijp Mahallesi, şehrin en karakteristik bölgelerinden biri. Renkli sokakları, yerel dükkanları ve kendine has dokusuyla De Pijp ruhunu en iyi yansıtan, keşfetmeye doyamayacağınız bir semt.","De Pijp Mahallesi is a noteworthy destination in Amsterdam's De Pijp district. With its unique features and experiences, it offers unforgettable moments to visitors. As one of the most visited places in the area, it deserves a spot on every traveler's list."
Amsterdam,De Sering,Restoran,"Topluluk odaklı vegan mutfağı. ""Ne kadar istersen o kadar öde"" konseptiyle işleyen, deneysel tadım menüleri (TestTafel) sunan yenilikçi bir mekan.",Amsterdam içindeki popüler mekanlardan biri. 4.9 puan ve 284 yorum ile ziyaretçilerin beğenisini kazanmış.
Amsterdam,Deguelle Patisserie,Cafe,Eerste Oosterparkstraat'ta bir lezzet durağı. Özellikle bademli kruvasanı ve fıstıklı cruffin'i (kruvasan-muffin melezi) ile ünlü.,Amsterdam içindeki popüler mekanlardan biri. 4.8 puan ve 208 yorum ile ziyaretçilerin beğenisini kazanmış.
Amsterdam,Desi Cakes,Cafe,"Görsel şölen sunan özel tasarım pastalar. Hem göze hem damağa hitap eden, kutlamaların vazgeçilmezi olacak kişiselleştirilmiş tatlılar.",Amsterdam içindeki popüler mekanlardan biri. 4.9 puan ve 105 yorum ile ziyaretçilerin beğenisini kazanmış.
Amsterdam,Door 74,Bar,"Amsterdam'ın ilk 'speakeasy' barı. Gizli bir kapının ardında, özel kokteylleri ve 1920'lerin atmosferiyle sunulan elit bir gece hayatı deneyimi.","The city's first speakeasy bar, hidden behind an unmarked door. Offers a sophisticated Art Deco vibe and award-winning cocktails in an intimate setting."
Amsterdam,Dutch Courage | Cocktail Bar Amsterdam,Bar,"Zeedijk'te Hollanda likörleri ve ""Genever"" (Hollanda cini) üzerine uzmanlaşmış eşsiz bir bar. Geleneksel ""kopstootje"" deneyimi için doğru adres.",Amsterdam içindeki popüler mekanlardan biri. 4.7 puan ve 820 yorum ile ziyaretçilerin beğenisini kazanmış.
Amsterdam,EYE Film Museum,Müze,"IJ Nehri kıyısındaki o meşhur bembeyaz bina. Sinema tarihine adanmış sergileri, nadir film koleksiyonları ve nehir manzaralı muazzam terasıyla bir mimari harikası.","An architectural marvel on the waterfront, this museum is the national treasury for film and cinematography, featuring immersive exhibitions and a grand cafe."
Amsterdam,Electric Ladyland,Müze,Dünyanın tek floresan sanat müzesi. Ultraviyole ışık altında parlayan mineraller ve sanat eserleriyle büyüleyici bir deneyim sunar.,The world's only museum of fluorescent art. Offers a fascinating experience with minerals and artworks that glow under ultraviolet light.
Amsterdam,Elevate Coffee Lab,Cafe,De Pijp'te minimalist bir kahve laboratuvarı. Değişen konuk kavurucuları ve mükemmeliyetçi demleme teknikleriyle kahve inekleri (nerds) için bir mabet.,Amsterdam içindeki popüler mekanlardan biri. 4.9 puan ve 293 yorum ile ziyaretçilerin beğenisini kazanmış.
Amsterdam,Embassy of the Free Mind,Müze,"Tarihi bir kanal evinde yer alan, felsefe, astronomi ve mistisizm gibi nadir konulara odaklanan benzersiz bir kütüphane ve müze.","A unique library and museum focusing on rare subjects like philosophy, astronomy, and mysticism, housed in a historic canal house."
Amsterdam,FEBO Amsterdam (Otomatik Atıştırmalık),Restoran,"Duvarlardaki küçük kapaklı bölmelerden bozuk para karşılığı sıcak atıştırmalıklar alabildiğiniz, Amsterdam'ın ikonik otomatik yemek zinciri.","Amsterdam's iconic automated food chain, where you can buy hot snacks from small compartments in the wall with a few coins."
Amsterdam,Fabus,Restoran,Doğu Avrupa doğal şarapları ile Levant mutfağını buluşturan samimi bir şarap barı. Tahinli karnabahar ve turuncu şarap ikilisi favori.,Amsterdam içindeki popüler mekanlardan biri. 4.8 puan ve 640 yorum ile ziyaretçilerin beğenisini kazanmış.
Amsterdam,Fashion for Good Museum,Müze,Sürdürülebilir moda ve tekstil inovasyonuna adanmış dünyanın ilk interaktif müzesi.,The world's first interactive museum dedicated to sustainable fashion and textile innovation.
Amsterdam,Fitz's Bar Amsterdam,Bar,"Pillows Hotel içinde, 1920'lerin cazibesini taşıyan lüks bir kokteyl barı. Kadife koltuklar, loş ışıklar ve ödüllü ""Beeswax Old Fashioned"" kokteyli.",Amsterdam içindeki popüler mekanlardan biri. 4.9 puan ve 144 yorum ile ziyaretçilerin beğenisini kazanmış.
Amsterdam,Flamingo’s Gastro & Cocktailbar,Bar,"Pembe kadife dekorasyonu ve egzotik kokteylleriyle canlı ve enerjik bir mekan. Hem göze hem damağa hitap eden, fotoğraf çekilesi bir atmosfer.",Amsterdam içindeki popüler mekanlardan biri. 4.9 puan ve 125 yorum ile ziyaretçilerin beğenisini kazanmış.
Amsterdam,Florentin brunch,Restoran,Tel Aviv sokaklarının enerjisini Amsterdam'a taşıyan popüler brunch mekanı. Shakshuka ve taze humus tabaklarıyla güne baharatlı bir başlangıç.,Amsterdam içindeki popüler mekanlardan biri. 4.8 puan ve 5166 yorum ile ziyaretçilerin beğenisini kazanmış.
Amsterdam,Foam (Photography Museum),Müze,"Foam (Photography Museum), Amsterdam'nin sanat sahnesinin nabzını tutan önemli bir kültür merkezi. Keizersgracht bölgesindeki modern binası, kalıcı ve geçici sergiler, atölye çalışmaları ve özel etkinlikleriyle yıl boyunca ziyaret edilmeye değer.",World famous photography museum. Both classic and contemporary exhibitions. Must stop for art lovers.
Amsterdam,Foodhallen,Deneyim,Eski bir tramvay deposunun (De Hallen) içine kurulmuş devasa yemek holü. Dünyanın dört bir yanından yerel lezzetlerin ve şık barların buluştuğu sosyal bir merkez.,"Set in a renovated former tram depot, this vibrant indoor market features a huge variety of international street food stalls and bars under one industrial-chic roof."
Amsterdam,Friedhats FUKU Cafe,Cafe,"Bos en Lommer'da, şehrin en iyi kahve kavurucularından Friedhats'in renkli ve ""psychedelic"" kafesi. Nitelikli kahvenin en eğlenceli hali.",Amsterdam içindeki popüler mekanlardan biri. 4.8 puan ve 989 yorum ile ziyaretçilerin beğenisini kazanmış.
Amsterdam,Gassan Diamonds,Deneyim,"Tarihi bir buharlı elmas fabrikasında yer alan, dünyanın en ünlü elmas kesim ve mücevher merkezlerinden biri.","One of the world's most famous diamond cutting and jewelry centers, located in a historic steam-powered diamond factory."
Amsterdam,Gentle Place Coffee,Cafe,Amsterdam Noord'da huzurlu bir kaçış noktası. Chai latte'si ve ev yapımı kimchi tostlarıyla mahallelinin gizli sığınağı.,Amsterdam içindeki popüler mekanlardan biri. 4.9 puan ve 338 yorum ile ziyaretçilerin beğenisini kazanmış.
Amsterdam,Good Beans,Cafe,"Haarlemmerstraat'ta, ""Fucking Strong Coffee"" mottosuyla bilinen, iddiasız ve samimi bir kahve dükkanı. Güçlü kahve sevenler için.",Amsterdam içindeki popüler mekanlardan biri. 4.8 puan ve 517 yorum ile ziyaretçilerin beğenisini kazanmış.
Amsterdam,Graham's Kitchen,Restoran,"Şef Graham Mee'nin yönettiği, lezzetin ön planda olduğu rahat bir fine-dining restoranı. 3-6 çeşitli tadım menüleri, şaşırtıcı lezzet kombinasyonları sunuyor.","Modern European dishes plus a prix-fixe menu in a relaxed, whitewashed setting with wooden floors."
Amsterdam,Grote Markt Haarlem,Deneyim,"'Minik Amsterdam'. Turist kalabalığı yok, aynı güzellik. Trenle sadece 15 dakika. Alışveriş için harika.","'Little Amsterdam'. No tourist crowds, same beauty. Only 15 mins by train. Great for shopping."
Amsterdam,H'ART Museum (Eski Hermitage),Müze,Amstel Nehri kıyısında 17. yüzyıldan kalma tarihi bir binada yer alan sanat müzesi. Dünyanın önde gelen müzeleriyle işbirliği içinde dev sergiler sunar.,An art museum housed in a historic 17th-century building on the banks of the Amstel River. Host to major exhibitions in collaboration with leading world museums.
Amsterdam,H.Murray's Amsterdam,Restoran,"Tarihi bir binada, viski ve bira çeşitleriyle öne çıkan sıcak bir bar. Breweriana koleksiyonu ve samimi ortamıyla viskiseverlerin uğrak yeri.",Amsterdam içindeki popüler mekanlardan biri. 4.8 puan ve 357 yorum ile ziyaretçilerin beğenisini kazanmış.
Amsterdam,Haarlemmerstraat,Alışveriş,"Amsterdam'ın en iyi alışveriş caddelerinden biri. Bağımsız butikleri, özel peynir dükkanları ve Michelin yıldızlı olmayan yerel favori lokantalarıyla ünlüdür.","One of Amsterdam's best shopping streets. Famous for its independent boutiques, specialty cheese shops, and non-Michelin starred local favorite eateries."
Amsterdam,Hannekes Boom,Restoran,"Merkez istasyona yakın, nehir kıyısında salaş ve çok popüler bir teras. Geri dönüştürülmüş mobilyaları ve harika gün batımı manzarasıyla kentin en rahat barı.","A colorful, rustic waterfront hangout built mostly from salvaged materials. It's the ultimate spot for a relaxed sunset beer with a panoramic view of the IJ."
Amsterdam,Hans Egstorf,Cafe,"1898'den beri hizmet veren, şehrin en eski fırını. Gözünüzün önünde pişen, sıcak ve taze Stroopwafel (Hollanda waffle'ı) için en otantik adres.",Amsterdam içindeki popüler mekanlardan biri. 4.8 puan ve 8295 yorum ile ziyaretçilerin beğenisini kazanmış.
Amsterdam,Hans Egstorf (Bakery),Cafe,1898'den beri hizmet veren Amsterdam'ın en eski fırınlarından biri. İnanılmaz stroopwafelleri ve taze hamur işleriyle tanınır.,"One of Amsterdam's oldest bakeries, serving since 1898. Renowned for its incredible stroopwafels and fresh pastries."
Amsterdam,Hartog's Wholegrain Bakery and Milling,Cafe,Tam tahıllı ekmekleriyle ünlü tarihi fırın. Özellikle kış aylarında yaptıkları Oliebollen (Hollanda pişisi) için kapısında uzun kuyruklar oluşuyor.,Amsterdam içindeki popüler mekanlardan biri. 4.8 puan ve 797 yorum ile ziyaretçilerin beğenisini kazanmış.
Amsterdam,Hearth,Restoran,"Yaratıcı sunumlarıyla sanatı tabağa taşıyan, tamamen bitki bazlı (vegan) bir restoran. Tadım menüsü, vegan mutfağının sınırlarını zorluyor.",Amsterdam içindeki popüler mekanlardan biri. 4.8 puan ve 2973 yorum ile ziyaretçilerin beğenisini kazanmış.
Amsterdam,Heineken Experience,Deneyim,Dünyaca ünlü biranın eski fabrikasında interaktif bir yolculuk. Bira yapım sürecini keşfedip sonunda kentin manzarasına karşı tadım yapabileceğiniz popüler bir durak.,"An interactive tour through the historic former brewery of Heineken. Learn about the brewing process, the brand's history, and enjoy a cold beer at the rooftop bar."
Amsterdam,Het Scheepvaartmuseum (Denizcilik Müzesi),Müze,Hollanda'nın denizcilik tarihini anlatan etkileyici müze. Müzenin önünde demirli duran devasa 18. yüzyıl gemisi kopyasını (Amsterdam) gezebilirsiniz.,An impressive museum telling the story of Dutch maritime history. You can tour the massive 18th-century ship replica (Amsterdam) moored in front of the museum.
Amsterdam,Hollandsche Schouwburg (Ulusal Holokost Anıtı),Müze,"Eski bir tiyatro binası olan bu mekan, savaş sırasında Yahudilerin toplandığı bir merkezdi, bugün ise bir anıt ve müze olarak hizmet veriyor.","Formerly a theater, this venue served as a collection center for Jews during the war; today it serves as a memorials and museum."
Amsterdam,Hollandse pot,Restoran,"Turistik olmayan, gerçek Hollanda ev yemekleri. Stamppot (sebzeli püre) ve sosis gibi geleneksel lezzetleri uygun fiyata tadabileceğiniz samimi bir esnaf lokantası.",Amsterdam içindeki popüler mekanlardan biri. 4.8 puan ve 618 yorum ile ziyaretçilerin beğenisini kazanmış.
Amsterdam,Hortus Botanicus,Park,"1638 yılında kurulan, dünyanın en eski botanik bahçelerinden biri. Baharat ticaretinin kalbi olan kentin bitki mirasını devasa cam seralarda keşfedin.","Established in 1638, it's one of the world's oldest botanical gardens. A green oasis featuring incredible glass houses, exotic plants, and a huge water lily pond."
