Şehir;Yer Adı;Kategori;Açıklama (TR);Description (EN);Rating
Amsterdam;Bariq - Greek Food & Wines;Restoran;Amsterdam'nin sevilen restoranlarından biri. Yerel lezzetler ve özenli sunum ile gurme bir deneyim sunuyor.;Greek restaurant with authentic Mediterranean cuisine and wines.;4.9
Amsterdam;Baux Pastry;Cafe;Amsterdam'nin popüler kafelerinden biri. Kahve tutkunları için mükemmel bir mola noktası, samimi atmosfer ve lezzetli atıştırmalıklar.;French-inspired pastry shop with exquisite desserts and cakes.;5
Amsterdam;Beer Tasting Room In The Wildeman;Cafe;Eski bir damıtım evinde kurulu, müziksiz ve sakin bir bira tapınağı. 250'den fazla bira çeşidiyle gerçek bira tutkunlarının mabedi.;Quirky bar in a former distillery stocking over 250 bottle & tap beers from throughout Europe.;4.7
Amsterdam;Begijnhof;Tarihi;Şehrin gürültülü merkezinde saklı, 14. yüzyıldan kalma huzurlu bir avlu. Amsterdam'ın en eski evlerinden birine ev sahipliği yapan bu dini sığınak, sessizliğiyle büyüler.;A serene, medieval courtyard hidden behind a heavy wooden door. This historic sanctuary for the Beguines contains some of the oldest houses and a beautiful hidden church.;4.5
Amsterdam;Blin Queen. Specialty pancakes, coffee & wine;Cafe;Amsterdam'nin popüler kafelerinden biri. Kahve tutkunları için mükemmel bir mola noktası, samimi atmosfer ve lezzetli atıştırmalıklar.;Specialty pancake café with coffee and wine.;4.8
Amsterdam;Bloemenmarkt;Deneyim;Bloemenmarkt, Amsterdam'nin Centrum bölgesinde bulunan dikkat çekici bir nokta. Eşsiz özellikleri ve sunduğu deneyimle ziyaretçilerine unutulmaz anlar yaşatıyor. Bölgenin en çok ziyaret edilen yerlerinden biri olarak her gezginin listesinde yer almalı.;Bloemenmarkt is a noteworthy destination in Amsterdam's Centrum district. With its unique features and experiences, it offers unforgettable moments to visitors. As one of the most visited places in the area, it deserves a spot on every traveler's list.;4.2
Amsterdam;Blue Amsterdam;Restoran;Kalverpassage alışveriş merkezinin tepesinde yer alan 360 derece Amsterdam manzaralı modern kafe. Şehri kuş bakışı izlemek için en iyi gizli noktalardan biridir.;A modern cafe with a 360-degree view of Amsterdam located atop the Kalverpassage shopping center. One of the best hidden spots for a bird's-eye view of the city.;4.4
Amsterdam;Brouwerij 't IJ;Restoran;Dev bir yel değirmeninin (De Gooyer) hemen altındaki tarihi bira fabrikası. Şehirde 'değirmen birası' olarak bilinen yerel ve taze biraları tatmak için en iyi adres.;An organic microbrewery located in a former bathhouse next to a giant wooden windmill. It offers a great range of fresh house-brewed beers and simple snacks.;4.6
Amsterdam;Brouwerij de Prael;Restoran;Kırmızı Fener Mahallesi'nde yer alan, sosyal sorumluluk projesi olarak kurulan ve harika bira çeşitleri sunan butik bir bira fabrikası ve barı.;A boutique brewery and bar located in the Red Light District, established as a social enterprise and offering an excellent variety of beers.;4.6
Amsterdam;CIMA Rooftop Bar;Restoran;Amsterdam'nin sevilen restoranlarından biri. Yerel lezzetler ve özenli sunum ile gurme bir deneyim sunuyor.;Rooftop bar with panoramic Amsterdam views and cocktails.;4.8
Amsterdam;Cafe Chris;Bar;Cafe Chris, Jordaan gece hayatının nabzını tutan, enerjisi yüksek bir mekan. Özel kokteylleri, müziği ve canlı atmosferiyle arkadaşlarınızla keyifli vakit geçirebileceğiniz popüler bir adres.;Cafe Chris is one of the most exciting stops in Amsterdam's nightlife. This venue in Jordaan adds color to the night with its special cocktails, live music and energetic atmosphere.;4.4
Amsterdam;Cafe Pollux;Bar;"Prins Hendrikkade üzerinde, gerçek Amsterdam ruhunu yaşatan tarihi bir ""kahverengi kafe"". Jukebox'ı ve Salı akşamları düzenlenen eğlenceli bingo geceleriyle ünlü.";Dark, funky haunt for coffee, breakfast & lunch, plus a lively pub scene in the evening.;4.7
Amsterdam;Cafe Sonneveld;Cafe;Cafe Sonneveld, De Pijp gece hayatının nabzını tutan, enerjisi yüksek bir mekan. Özel kokteylleri, müziği ve canlı atmosferiyle arkadaşlarınızla keyifli vakit geçirebileceğiniz popüler bir adres.;Cafe Sonneveld is one of the most exciting stops in Amsterdam's nightlife. This venue in De Pijp adds color to the night with its special cocktails, live music and energetic atmosphere.;4.3
Amsterdam;Café Chris;Bar;Dating back to 1624, this cozy, wood-paneled haunt features beer on tap & a pool table.;Dating back to 1624, this cozy, wood-paneled haunt features beer on tap & a pool table.;4.7
Amsterdam;Café De Dokter;Cafe;Amsterdam'ın en küçük pub'ı (18m2). 1798'den beri değişmeyen antika dekoru, tozlu şişeleri ve fonda çalan caz müziğiyle zamanın durduğu yer.;Quaint, storied bar with vintage decor serving a variety of beers, including drafts, plus cocktails.;4.8
Amsterdam;Café Enté;Cafe;Amsterdam'nin popüler kafelerinden biri. Kahve tutkunları için mükemmel bir mola noktası, samimi atmosfer ve lezzetli atıştırmalıklar.;Cozy Dutch café with quality coffee and light bites.;4.8
Amsterdam;Café Kompleet | Buurtcafé met Nederlandse keuken;Cafe;Amsterdam'nin popüler kafelerinden biri. Kahve tutkunları için mükemmel bir mola noktası, samimi atmosfer ve lezzetli atıştırmalıklar.;Neighborhood café with Dutch cuisine and local atmosphere.;4.8
Amsterdam;Café de Klos;Cafe;Amsterdam'ın en meşhur kaburgacısı. Loş ışıkları, kasap tarzı sunumu ve efsanevi dumanlı lezzetleriyle et severlerin kentin en sevdiği gizli duraklarından biri.;A legendary Amsterdam institution famous for its smoked ribs and rustic atmosphere. It's a no-nonsense spot where the focus is entirely on exceptional meat and great beer.;4.6
Amsterdam;Café de Vergulde Gaper;Cafe;Jordaan mahallesindeki en eski 'kahverengi kafelerden' biri. Kanal manzaralı terasında oturup Hollanda birası ve bitterballen eşliğinde yerel hayatı izlemek gibisi yok.;A classic Jordaan 'brown cafe' located on a beautiful corner. Ideal for a canal-side beer, traditional snacks like bitterballen, and watching the boats go by.;4.5
Amsterdam;Cape Town Social Club;Restoran;Amsterdam'nin sevilen restoranlarından biri. Yerel lezzetler ve özenli sunum ile gurme bir deneyim sunuyor.;South African-inspired social club with unique drinks and food.;4.8
Amsterdam;Casa Lisa;Restoran;Amsterdam'nin sevilen restoranlarından biri. Yerel lezzetler ve özenli sunum ile gurme bir deneyim sunuyor.;Italian restaurant with homestyle cooking and warm hospitality.;4.8
Amsterdam;CatuaBar Amsterdam;Restoran;Amsterdam'nin sevilen restoranlarından biri. Yerel lezzetler ve özenli sunum ile gurme bir deneyim sunuyor.;Coffee bar named after the Catuai coffee variety with specialty brews.;5
Amsterdam;Chef Adrienne | Private Dining Amsterdam;Restoran;Tarihi bir konakta, Fransız ve İtalyan teknikleriyle hazırlanan özel akşam yemekleri. Şef Adrienne'in kişisel dokunuşlarıyla ev sıcaklığında lüks.;Modern French & Italian dishes with global flourishes, served in an elegant private dining room.;4.9
Amsterdam;Chez Rosie;Cafe;Amsterdam'nin popüler kafelerinden biri. Kahve tutkunları için mükemmel bir mola noktası, samimi atmosfer ve lezzetli atıştırmalıklar.;French bistro with Parisian charm and quality cuisine.;4.9
Amsterdam;Ciel Bleu;Restoran;Hotel Okura'nın 23. katında, iki Michelin yıldızlı gastronomi tapınağı. Panoramik şehir manzarası eşliğinde unutulmaz bir lezzet yolculuğu.;Posh venue on the 23rd floor of the Hotel Okura offering creative European fare & views of the city.;4.7
Amsterdam;Coffee Bru;Cafe;Amsterdam'nin popüler kafelerinden biri. Kahve tutkunları için mükemmel bir mola noktası, samimi atmosfer ve lezzetli atıştırmalıklar.;Specialty coffee focused on quality brewing and beans.;4.8
Amsterdam;Colette's Private Dining;Restoran;Amsterdam'nin sevilen restoranlarından biri. Yerel lezzetler ve özenli sunum ile gurme bir deneyim sunuyor.;Exclusive private dining experience with refined cuisine.;4.9
Amsterdam;Coster Diamonds;Deneyim;Dünyanın en eski elmas parlatma fabrikalarından biri. Elmasların nasıl kesildiğini görebileceğiniz ücretsiz turlar sunar.;One of the world's oldest diamond polishing factories. Offers free tours where you can see how diamonds are cut.;4.5
Amsterdam;Craft Wine;Deneyim;Yerel kültürü keşfetmek ve otantik anılar biriktirmek için kaçırılmaması gereken bir deneyim.;Wine bar with curated craft wines and expert guidance.;5
Amsterdam;Dak Showroom by Dak Coffee Roasters;Cafe;Amsterdam'nin popüler kafelerinden biri. Kahve tutkunları için mükemmel bir mola noktası, samimi atmosfer ve lezzetli atıştırmalıklar.;Showroom café by local coffee roasters with quality brews.;4.8
Amsterdam;Dam Meydanı (Dam Square);Deneyim;Amsterdam'ın kalbi ve en ünlü meydanı. Royal Palace, Nieuwe Kerk ve Ulusal Anıt burada yer alır. Her zaman canlı ve hareketlidir.;The heart of Amsterdam and its most famous square. Home to the Royal Palace, Nieuwe Kerk, and the National Monument. Always lively and bustling.;4.6
Amsterdam;De 9 Straatjes;Cafe;Ana kanalları birbirine bağlayan, butik dükkanlar, antika mağazaları ve şık kafelerle dolu dokuz dar sokak. Alışverişten ziyade bir atmosfer keşfi.;Nine picturesque alleys connecting the main canals, packed with unique boutiques, vintage stores, and cozy cafes. A perfect spot for a scenic wander and authentic local shopping.;4.5
Amsterdam;De Kas;Restoran;Bölgede yetişen ürünlerle hazırlanan organik Akdeniz yemeklerinin servis edildiği, bahçe içinde yer alan şık sera.;Bölgede yetişen ürünlerle hazırlanan organik Akdeniz yemeklerinin servis edildiği, bahçe içinde yer alan şık sera.;4.7
Amsterdam;De Laatste Kruimel;Restoran;Adı gibi 'son kırıntısına kadar' yiyeceğiniz nefis pastalar ve sandviçler. Kanala bakan minik balkonu ve rustik dekorasyonuyla kentin en şirin kafesi.;A tiny, rustic bakery famous for its overflowing display of handmade cakes, quiches, and scones. Try to snag the small balcony overlooking the canal.;4.5
Amsterdam;De Nada - Music, Wine & Food Bar;Bar;Amsterdam'nin atmosferik barlarından biri. Özenle hazırlanmış kokteyller, samimi ortam ve yerel içki seçenekleriyle gece hayatının vazgeçilmez durağı.;Music bar with wine and food in relaxed atmosphere.;4.8
Amsterdam;De Negen Straatjes (9 Sokak);Deneyim;Kanal kuşağını kesen dokuz küçük sokak. Bağımsız tasarımcıların, vintage dükkanların ve yerel kafelerin merkezidir.;Nine small streets intersecting the canal belt. The center for independent designers, vintage shops, and local cafes.;4.6
Amsterdam;De Pijp Mahallesi;Bar;De Pijp Mahallesi, şehrin en karakteristik bölgelerinden biri. Renkli sokakları, yerel dükkanları ve kendine has dokusuyla De Pijp ruhunu en iyi yansıtan, keşfetmeye doyamayacağınız bir semt.;De Pijp Mahallesi is a noteworthy destination in Amsterdam's De Pijp district. With its unique features and experiences, it offers unforgettable moments to visitors. As one of the most visited places in the area, it deserves a spot on every traveler's list.;4.5
Amsterdam;De Sering;Restoran;Amsterdam'nin sevilen restoranlarından biri. Yerel lezzetler ve özenli sunum ile gurme bir deneyim sunuyor.;Classic Dutch café with traditional atmosphere.;4.9
Amsterdam;Deguelle Patisserie;Cafe;Amsterdam'nin popüler kafelerinden biri. Kahve tutkunları için mükemmel bir mola noktası, samimi atmosfer ve lezzetli atıştırmalıklar.;French patisserie with elegant pastries and desserts.;4.8
Amsterdam;Desi Cakes;Cafe;Amsterdam'nin popüler kafelerinden biri. Kahve tutkunları için mükemmel bir mola noktası, samimi atmosfer ve lezzetli atıştırmalıklar.;South Asian-inspired bakery with creative cakes and treats.;4.9
Amsterdam;Door 74;Bar;Amsterdam'ın ilk 'speakeasy' barı. Gizli bir kapının ardında, özel kokteylleri ve 1920'lerin atmosferiyle sunulan elit bir gece hayatı deneyimi.;The city's first speakeasy bar, hidden behind an unmarked door. Offers a sophisticated Art Deco vibe and award-winning cocktails in an intimate setting.;4.6
Amsterdam;Dutch Courage | Cocktail Bar Amsterdam;Bar;Amsterdam'nin atmosferik barlarından biri. Özenle hazırlanmış kokteyller, samimi ortam ve yerel içki seçenekleriyle gece hayatının vazgeçilmez durağı.;Gin-focused cocktail bar inspired by Dutch bravery.;4.7
Amsterdam;EYE Film Museum;Müze;IJ Nehri kıyısındaki o meşhur bembeyaz bina. Sinema tarihine adanmış sergileri, nadir film koleksiyonları ve nehir manzaralı muazzam terasıyla bir mimari harikası.;An architectural marvel on the waterfront, this museum is the national treasury for film and cinematography, featuring immersive exhibitions and a grand cafe.;4.4
Amsterdam;Electric Ladyland;Müze;Dünyanın tek floresan sanat müzesi. Ultraviyole ışık altında parlayan mineraller ve sanat eserleriyle büyüleyici bir deneyim sunar.;The world's only museum of fluorescent art. Offers a fascinating experience with minerals and artworks that glow under ultraviolet light.;4.8
Amsterdam;Elevate Coffee Lab;Cafe;Amsterdam'nin popüler kafelerinden biri. Kahve tutkunları için mükemmel bir mola noktası, samimi atmosfer ve lezzetli atıştırmalıklar.;Elevated coffee laboratory with innovative brewing methods.;4.9
Amsterdam;Embassy of the Free Mind;Müze;Tarihi bir kanal evinde yer alan, felsefe, astronomi ve mistisizm gibi nadir konulara odaklanan benzersiz bir kütüphane ve müze.;A unique library and museum focusing on rare subjects like philosophy, astronomy, and mysticism, housed in a historic canal house.;4.8
Amsterdam;FEBO Amsterdam (Otomatik Atıştırmalık);Restoran;Duvarlardaki küçük kapaklı bölmelerden bozuk para karşılığı sıcak atıştırmalıklar alabildiğiniz, Amsterdam'ın ikonik otomatik yemek zinciri.;Amsterdam's iconic automated food chain, where you can buy hot snacks from small compartments in the wall with a few coins.;4.0
Amsterdam;Fabus;Restoran;Amsterdam'nin sevilen restoranlarından biri. Yerel lezzetler ve özenli sunum ile gurme bir deneyim sunuyor.;Modern venue with quality food and drinks.;4.8
Amsterdam;Fashion for Good Museum;Müze;Sürdürülebilir moda ve tekstil inovasyonuna adanmış dünyanın ilk interaktif müzesi.;The world's first interactive museum dedicated to sustainable fashion and textile innovation.;4.5
Amsterdam;Fitz's Bar Amsterdam;Bar;Amsterdam'nin atmosferik barlarından biri. Özenle hazırlanmış kokteyller, samimi ortam ve yerel içki seçenekleriyle gece hayatının vazgeçilmez durağı.;Classic cocktail bar with prohibition-era vibes.;4.9
Amsterdam;Flamingo’s Gastro & Cocktailbar;Bar;Amsterdam'nin atmosferik barlarından biri. Özenle hazırlanmış kokteyller, samimi ortam ve yerel içki seçenekleriyle gece hayatının vazgeçilmez durağı.;Stylish bar with quality drinks and welcoming atmosphere.;4.9
Amsterdam;Florentin brunch;Restoran;Amsterdam'nin sevilen restoranlarından biri. Yerel lezzetler ve özenli sunum ile gurme bir deneyim sunuyor.;Israeli-style brunch spot with Middle Eastern flavors.;4.8
Amsterdam;Foam (Photography Museum);Müze;Foam (Photography Museum), Amsterdam'nin sanat sahnesinin nabzını tutan önemli bir kültür merkezi. Keizersgracht bölgesindeki modern binası, kalıcı ve geçici sergiler, atölye çalışmaları ve özel etkinlikleriyle yıl boyunca ziyaret edilmeye değer.;World famous photography museum. Both classic and contemporary exhibitions. Must stop for art lovers.;4.5
Amsterdam;Foodhallen;Deneyim;Eski bir tramvay deposunun (De Hallen) içine kurulmuş devasa yemek holü. Dünyanın dört bir yanından yerel lezzetlerin ve şık barların buluştuğu sosyal bir merkez.;Set in a renovated former tram depot, this vibrant indoor market features a huge variety of international street food stalls and bars under one industrial-chic roof.;4.4
Amsterdam;Friedhats FUKU Cafe;Cafe;Amsterdam'nin popüler kafelerinden biri. Kahve tutkunları için mükemmel bir mola noktası, samimi atmosfer ve lezzetli atıştırmalıklar.;Asian-inspired café with fusion flavors and coffee.;4.8
Amsterdam;Gassan Diamonds;Deneyim;Tarihi bir buharlı elmas fabrikasında yer alan, dünyanın en ünlü elmas kesim ve mücevher merkezlerinden biri.;One of the world's most famous diamond cutting and jewelry centers, located in a historic steam-powered diamond factory.;4.6
Amsterdam;Gentle Place Coffee;Cafe;Amsterdam'nin popüler kafelerinden biri. Kahve tutkunları için mükemmel bir mola noktası, samimi atmosfer ve lezzetli atıştırmalıklar.;Calm specialty coffee shop with quality brewing.;4.9
Amsterdam;Good Beans;Cafe;Amsterdam'nin popüler kafelerinden biri. Kahve tutkunları için mükemmel bir mola noktası, samimi atmosfer ve lezzetli atıştırmalıklar.;Quality coffee beans and expert brewing in cozy setting.;4.8
Amsterdam;Graham's Kitchen;Restoran;Şef Graham Mee'nin yönettiği, lezzetin ön planda olduğu rahat bir fine-dining restoranı. 3-6 çeşitli tadım menüleri, şaşırtıcı lezzet kombinasyonları sunuyor.;Modern European dishes plus a prix-fixe menu in a relaxed, whitewashed setting with wooden floors.;4.8
Amsterdam;Grote Markt Haarlem;Deneyim;'Minik Amsterdam'. Turist kalabalığı yok, aynı güzellik. Trenle sadece 15 dakika. Alışveriş için harika.;'Little Amsterdam'. No tourist crowds, same beauty. Only 15 mins by train. Great for shopping.;4.7
Amsterdam;H'ART Museum (Eski Hermitage);Müze;Amstel Nehri kıyısında 17. yüzyıldan kalma tarihi bir binada yer alan sanat müzesi. Dünyanın önde gelen müzeleriyle işbirliği içinde dev sergiler sunar.;An art museum housed in a historic 17th-century building on the banks of the Amstel River. Host to major exhibitions in collaboration with leading world museums.;4.5
Amsterdam;H.Murray's Amsterdam;Restoran;Amsterdam'nin sevilen restoranlarından biri. Yerel lezzetler ve özenli sunum ile gurme bir deneyim sunuyor.;Classic bar with refined drinks and elegant atmosphere.;4.8
Amsterdam;Haarlemmerstraat;Alışveriş;Amsterdam'ın en iyi alışveriş caddelerinden biri. Bağımsız butikleri, özel peynir dükkanları ve Michelin yıldızlı olmayan yerel favori lokantalarıyla ünlüdür.;One of Amsterdam's best shopping streets. Famous for its independent boutiques, specialty cheese shops, and non-Michelin starred local favorite eateries.;4.7
Amsterdam;Hannekes Boom;Restoran;Merkez istasyona yakın, nehir kıyısında salaş ve çok popüler bir teras. Geri dönüştürülmüş mobilyaları ve harika gün batımı manzarasıyla kentin en rahat barı.;A colorful, rustic waterfront hangout built mostly from salvaged materials. It's the ultimate spot for a relaxed sunset beer with a panoramic view of the IJ.;4.4
Amsterdam;Hans Egstorf;Cafe;Amsterdam'nin popüler kafelerinden biri. Kahve tutkunları için mükemmel bir mola noktası, samimi atmosfer ve lezzetli atıştırmalıklar.;Traditional Dutch establishment with local character.;4.8
Amsterdam;Hans Egstorf (Bakery);Cafe;1898'den beri hizmet veren Amsterdam'ın en eski fırınlarından biri. İnanılmaz stroopwafelleri ve taze hamur işleriyle tanınır.;One of Amsterdam's oldest bakeries, serving since 1898. Renowned for its incredible stroopwafels and fresh pastries.;4.8
Amsterdam;Hartog's Wholegrain Bakery and Milling;Cafe;Amsterdam'nin popüler kafelerinden biri. Kahve tutkunları için mükemmel bir mola noktası, samimi atmosfer ve lezzetli atıştırmalıklar.;Artisan bakery specializing in wholegrain breads and milling.;4.8
Amsterdam;Hearth;Restoran;Amsterdam'nin sevilen restoranlarından biri. Yerel lezzetler ve özenli sunum ile gurme bir deneyim sunuyor.;Warm, hearth-inspired restaurant with quality cuisine.;4.8
Amsterdam;Heineken Experience;Deneyim;Dünyaca ünlü biranın eski fabrikasında interaktif bir yolculuk. Bira yapım sürecini keşfedip sonunda kentin manzarasına karşı tadım yapabileceğiniz popüler bir durak.;An interactive tour through the historic former brewery of Heineken. Learn about the brewing process, the brand's history, and enjoy a cold beer at the rooftop bar.;4.3
Amsterdam;Het Scheepvaartmuseum (Denizcilik Müzesi);Müze;Hollanda'nın denizcilik tarihini anlatan etkileyici müze. Müzenin önünde demirli duran devasa 18. yüzyıl gemisi kopyasını (Amsterdam) gezebilirsiniz.;An impressive museum telling the story of Dutch maritime history. You can tour the massive 18th-century ship replica (Amsterdam) moored in front of the museum.;4.7
Amsterdam;Hollandsche Schouwburg (Ulusal Holokost Anıtı);Müze;Eski bir tiyatro binası olan bu mekan, savaş sırasında Yahudilerin toplandığı bir merkezdi, bugün ise bir anıt ve müze olarak hizmet veriyor.;"Formerly a theater, this venue served as a collection center for Jews during the war; today it serves as a memorials and museum.";4.7
Amsterdam;Hollandse pot;Restoran;Amsterdam'nin sevilen restoranlarından biri. Yerel lezzetler ve özenli sunum ile gurme bir deneyim sunuyor.;Traditional Dutch cuisine in authentic setting.;4.8
Amsterdam;Hortus Botanicus;Park;1638 yılında kurulan, dünyanın en eski botanik bahçelerinden biri. Baharat ticaretinin kalbi olan kentin bitki mirasını devasa cam seralarda keşfedin.;Established in 1638, it's one of the world's oldest botanical gardens. A green oasis featuring incredible glass houses, exotic plants, and a huge water lily pond.;4.5
Amsterdam;IJ-Hallen Flea Market;Deneyim;Avrupa'nın en büyük bit pazarı. Ayda sadece bir veya iki kez devasa endüstriyel hangarlarda kurulur.;Europe's largest flea market, held only once or twice a month in massive industrial hangars.;4.5
Amsterdam;Joods Museum (Yahudi Müzesi);Müze;Dört tarihi sinagogun içinde yer alan, Hollanda'daki Yahudi tarihi, dini ve kültürüne adanmış kapsamlı müze.;A comprehensive museum dedicated to Jewish history, religion, and culture in the Netherlands, housed within four historic synagogues.;4.6
Amsterdam;Jordaan;Tarihi;Dar sokakları, şirin kanalları, bağımsız butikleri ve gizli avlularıyla (hofjes) Amsterdam'ın en karakteristik ve fotogejik mahallesi.;Amsterdam's most characteristic and photogenic neighborhood, with its narrow streets, quaint canals, independent boutiques, and hidden courtyards (hofjes).;4.7
Amsterdam;KAFFEE;Cafe;Amsterdam'nin popüler kafelerinden biri. Kahve tutkunları için mükemmel bir mola noktası, samimi atmosfer ve lezzetli atıştırmalıklar.;German-spelling coffee shop with quality espresso.;4.8
Amsterdam;Kafenion Amsterdam;Cafe;Jordaan'da küçük bir Yunan adası havası. Yunan usulü soğuk kahve (Freddo Cappuccino) ve el yapımı ıspanaklı börekleriyle (Spanakopita) meşhur.;Intimate cafe with a rustic vibe, serving up hearty pies by the slice, plus hot & cold coffees.;4.9
Amsterdam;Kanal Turu;Deneyim;Amsterdam'ı suyun üzerinden keşfetmek için olmazsa olmaz bir deneyim. UNESCO korumalı kanallar arasında süzülürken şehrin 17. yüzyıl mimarisini ve yüzen evlerini en iyi açıdan görebilirsiniz.;The essential Amsterdam experience. Cruising through the UNESCO-listed 17th-century canal ring offers the best perspective on the city's historic Gabled houses and unique water-bound life.;4.5
Amsterdam;Kattenkabinet (Kedi Kabinesi);Müze;Tamamen kedilere adanmış bir sanat müzesi! Picasso'dan Rembrandt'a kadar pek çok sanatçının kedi temalı eserlerini tarihi bir kanal evinde görebilirsiniz.;An art museum entirely dedicated to cats! You can see cat-themed works by artists ranging from Picasso to Rembrandt in a historic canal house.;4.4
Amsterdam;Keukenhof Gardens;Deneyim;Keukenhof Gardens, Amsterdam'nin Lisse bölgesinde bulunan dikkat çekici bir nokta. Eşsiz özellikleri ve sunduğu deneyimle ziyaretçilerine unutulmaz anlar yaşatıyor. Bölgenin en çok ziyaret edilen yerlerinden biri olarak her gezginin listesinde yer almalı.;World's largest flower garden. 7 million tulips! Open only March-May. A visual feast.;4.8
Amsterdam;KoffieKar Amsterdam;Cafe;Amsterdam'nin popüler kafelerinden biri. Kahve tutkunları için mükemmel bir mola noktası, samimi atmosfer ve lezzetli atıştırmalıklar.;Coffee cart concept with quality mobile brewing.;5
Amsterdam;L'Abeille Pastry & Coffee;Cafe;Amsterdam'nin popüler kafelerinden biri. Kahve tutkunları için mükemmel bir mola noktası, samimi atmosfer ve lezzetli atıştırmalıklar.;Bee-inspired patisserie with honey-based treats and coffee.;4.8
Amsterdam;La Dilettante Amsterdam - Natural Wine Bar;Cafe;Özel kahve çeşitleri ve ev yapımı lezzetleriyle tanınan, rahat atmosferi ile dikkat çeken bir kafe.;Natural wine bar for passionate wine lovers.;4.8
