City,Index,Header (TR),Content (TR),Header (EN),Content (EN)
Atina,1,📅 Ne Zaman Gidilir?,"- **Bahar (Nisan-Haziran):** Gezmek için en ideal sıcaklıklar. Tepeler hala yeşildir.
- **Erişilebilir Kış:** Atina kışın da nispeten ılıktır ve antik alanları kalabalıksız gezmek için harikadır.
- **İpucu:** Temmuz ve Ağustos aylarında Atina'da sıcaklık gölgede bile 40 dereceye çıkabilir. Akropolis'e çıkmak bu aylarda zordur.",📅 Best Time to Visit,"- **Spring (April-June):** Ideal temperatures for exploring. The surrounding hills are still lush and green.
- **Accessible Winter:** Athens remains relatively mild in winter—a great time to visit ancient sites without the massive crowds.
- **Tip:** In July and August, the city is a furnace. Climbing the Acropolis in 40°C heat can be dangerous; stay hydrated!"
Atina,2,🏘️ Semt Rehberi,"- **Plaka:** Akropolis'in eteklerinde, bembeyaz evleri ve çiçekli sokaklarıyla en ikonik mahalle. Turistiktir ama her zaman büyüleyicidir.
- **Koukaki:** Son yılların en popüler bölgesi. Birçok gurme restoran, butik kafe ve yerel bir atmosfer.
- **Anafiotika:** Plaka'nın üst kısmında, Cyclades adalarını andıran küçük beyaz evler bölgesi. Şehrin ortasında bir Ege adası gibi.",🏘️ Neighborhood Guide,"- **Plaka:** Nestled under the Acropolis, this is the most iconic neighborhood with its whitewashed houses and flowering alleys.
- **Koukaki:** The trendiest spot in recent years. Fill with gourmet tavernas, boutique cafes, and a genuine residential feel.
- **Anafiotika:** Located at the top of Plaka, this area looks exactly like a Cycladic island. A tiny piece of the Aegean in the heart of the city."
Atina,3,🍽️ Ne Yenir ve İçilir?,"- **Meze Kültürü:** Akşam yemeği uzun sürer. Masayı çeşitli mezelerle donatıp yavaş yavaş yemek bir gelenektir.
- **Freddo Espresso:** Atinalıların milli içeceğidir. Soğuk ve köpüklü bu kahveyi günün her saati ellerinde görebilirsiniz.
- **Souvlaki ve Gyros:** Hızlı, ucuz ve inanılmaz lezzetli sokak yemekleri.
- **Hesap Ödeme:** Yunanistan'da hesabı ""Alman usulü"" ödemek pek yaygın değildir; genellikle biri ısmarlar veya toplam hesap bölünür.",🍽️ Food & Dining Etiquette,"- **Meze Culture:** Dinner is a marathon, not a sprint. The tradition is to fill the table with various appetizers (meze) and share them slowly over wine or ouzo.
- **Freddo Espresso:** The ""national drug"" of modern Greeks. You’ll see everyone carrying these cold, frothy coffees at all hours.
- **Souvlaki & Gyros:** The ultimate fast, cheap, and delicious street food.
- **Splitting the Bill:** In Greece, splitting the bill down to the last cent is rare; usually, one person hosts or the total is roughly divided."
Atina,4,🚇 Ulaşım İpuçları,"- **Metro:** Atina metrosu kazılırken birçok antik eser bulunmuştur; istasyonların bazıları küçük birer müze gibidir.
- **Yürüyüş:** Tarihi merkez (Plaka, Monastiraki, Thissio) tamamen yürünebilir bir ring hattı üzerindedir.",🚇 Transportation Tips,"- **The Metro:** While digging the tunnels, many ancient artifacts were uncovered—some stations (like Syntagma) look like mini-museums.
- **Walking:** The historical heart (Plaka, Monastiraki, Thissio) is connected by a pedestrian ring that makes walking the best way to see the sights."
Atina,5,💎 Lokal Sırlar & İpuçları,"- **[Lycabettus Tepesi](search:Lycabettus Hill):** Şehrin en yüksek noktası. Gün batımında veya gece Atina'nın sonsuz ışıklarını izlemek için buraya çıkın.
- **Laiki (Semt Pazarları):** Mahallelerde kurulan taze meyve ve sebze pazarları gerçek yerel hayatı gözlemlemek için harikadır.
- **Bedava Müzeler:** Ayın belirli Pazar günleri antik alanlara girişler ücretsiz olabilir, gitmeden önce kontrol edin.",💎 Local Secrets & Insights,"- **[Lycabettus Hill](search:Lycabettus Hill):** The highest point in the city center. Head up here at night to see the sprawling lights of Athens stretch all the way to the sea.
- **Laiki Markets:** These local farmers' markets are held weekly in different neighborhoods—the best place to see authentic local life.
- **Free Entry:** Many archaeological sites are free to the public on the first Sunday of the month during the winter season."
Bangkok,1,📅 Ne Zaman Gidilir?,"- **Serin Mevsim (Kasım-Şubat):** Havanın en az nemli ve gezilebilir olduğu zaman. Akşamları hafif bir serinlik olabilir.
- **Songkran (Nisan):** Tayland Yeni Yılı. Tüm şehrin dev bir su savaşına döndüğü, eğlencenin dorukta olduğu zaman.
- **İpucu:** Yağmur sezonu (Mayıs-Ekim) ani ve şiddetli yağışlar getirir ancak oteller çok daha ucuzdur.",📅 Best Time to Visit,"- **Cool Season (November-February):** When humidity is at its lowest and the weather is manageable. Evenings can be slightly cool.
- **Songkran (April):** The Thai New Year. A time when the entire city turns into a giant water fight—pure, unadulterated fun.
- **Tip:** The rainy season (May-October) brings sudden, heavy downpours but this is when hotels are at their cheapest."
Bangkok,2,🏘️ Konaklama Rehberi,"- **Sukhumvit:** Modern Bangkok. En iyi oteller, alışveriş merkezleri ve gece hayatı burada yoğunlaşır.
- **Ari:** Şehrin yükselen yıldızı. Daha sakin, hipster kafeler ve yerel bir atmosfer isteyenler için.
- **Old City (Rattanakosin):** Tapınaklara ve büyük saraya yürüyerek ulaşmak isteyen tarih tutkunları için ideal.",🏘️ Neighborhood Guide,"- **Sukhumvit:** Modern Bangkok. Home to the best hotels, malls, and the heart of the city's nightlife.
- **Ari:** The rising star. Ideal for those seeking a quieter, hipster vibe with local cafes and a relaxed atmosphere.
- **Old City (Rattanakosin):** Perfect for history buffs who want to be within walking distance of the temples and the Grand Palace."
Bangkok,3,🍽️ Ne Yenir ve İçilir?,"- **Sokak Yemekleri:** Dünyanın en iyi sokak yemeği sahnesi. Pad Thai, Mango Sticky Rice ve Som Tum (papaya salatası) mutlaka denenmeli.
- **Tapınak Saygısı:** Tapınaklara girerken omuzlar ve dizler kapalı olmalıdır. Ayakkabılarınızı kapıda bırakmayı unutmayın.
- **Kraliyet Saygısı:** Tayland halkı için Kraliyet ailesi kutsaldır. Onlar hakkında olumsuz konuşmak yasaktır ve büyük saygısızlık kabul edilir.
- **Pazarlık:** Gece pazarlarında ve tuk-tuklarda nazikçe pazarlık yapmak normaldir, ancak AVM'lerde ve marketlerde sabit fiyat geçerlidir.",🍜 Food & Dining Etiquette,"- **Street Food is King:** Bangkok has one of the world's best street food scenes. Pad Thai, Mango Sticky Rice, and Som Tum (papaya salad) are non-negotiable.
- **Temple Respect:** When entering temples, shoulders and knees must be covered. Don’t forget to remove your shoes at the entrance.
- **Royal Respect:** The Royal Family is highly revered in Thailand. Harmless jokes or criticism are not tolerated and can lead to legal issues.
- **Bargaining:** It’s normal to politely bargain at night markets and with tuk-tuk drivers, but malls and convenience stores use fixed prices."
Bangkok,4,🚇 Ulaşım İpuçları,"- **BTS ve MRT:** Gök treni ve Metro. Trafikten kaçmanın en hızlı ve klimalı yolu.
- **Nehir Tekneleri:** Chao Phraya nehrinde ulaşım hem ucuz hem de manzaralıdır.
- **Tuk-tuk Deneyimi:** Turistik bir klişe olsa da en az bir kere deneyin. Binmeden önce mutlaka fiyat üzerinde anlaşın.",🚇 Transportation Tips,"- **BTS & MRT:** The Skytrain and Underground Metro. The fastest and most air-conditioned way to bypass the legendary Bangkok traffic.
- **River Boats:** Commuting on the Chao Phraya river is cheap, scenic, and surprisingly efficient.
- **Tuk-tuk Experience:** A total tourist cliché, but you must try it at least once. Always agree on the price before you hop in."
Bangkok,5,💎 Lokal Sırlar & İpuçları,"- **[Khlong Lat Mayom](search:Khlong Lat Mayom):** Turistik yüzen pazarlar yerine yerlilerin gittiği bu pazarı tercih edin. Gerçek yemek deneyimi burada.
- **[Chatuchak Hafta Sonu Pazarı](search:Chatuchak Market):** Devasa bir labirent. Aradığınız her şeyi (evet, her şeyi) burada bulabilirsiniz.
- **Çatı Barları:** Sahra otellerin çatı barları yerine daha az bilinen terasları keşfedin; manzara aynı, fiyatlar daha makul.",💎 Local Secrets & Insights,"- **[Khlong Lat Mayom](search:Khlong Lat Mayom):** Skip the overly touristy floating markets for this local favorite. The food here is authentic and much cheaper.
- **[Chatuchak Weekend Market](search:Chatuchak Market):** A massive labyrinth. You can find everything (literally everything) here. Wear comfortable shoes.
- **Rooftop Bars:** Instead of the mega-famous ones, look for smaller boutique rooftops for similar views without the dress codes and high prices."
Barcelona,1,📅 Ne Zaman Gidilir?,"- **Geç Bahar (Mayıs-Haziran):** Plaj sezonu açılır, festivaller başlar, şehir cıvıl cıvıldır.
- **Eylül:** Şehir *La Mercè* festivalini kutlar. Dev kuklalar ve ""Correfoc"" (ateş koşusu) etkinlikleri şehri alevler içinde bırakır. İnanılmaz bir deneyimdir.",📅 Timing Your Visit,"- **Late Spring (May-June):** Beach clubs open, festivals begin, and the mood is ecstatic.
- **September:** The city celebrates *La Mercè* festival with giant puppets and fire runs (*Correfoc*). A must-see cultural explosion."
Barcelona,2,🏘️ Konaklama Rehberi,"- **Gracia:** Eskiden ayrı bir köymüş, hala o havasını koruyor. Trafiğe kapalı meydanları, butik dükkanları ile ""turist değilim"" diyenlerin tercihi.
- **El Born:** Ortaçağ sokakları gece hayatıyla buluşuyor. Daracık labirent sokaklar, en iyi barlar ve galeriler burada.
- **Eixample:** Geniş caddeler ve mimari tutkunları için. Güvenli, merkezi ve şık.
- **Uyarı:** *La Rambla* üzerinde kalmaktan kaçının. Çok gürültülü ve tam bir turist tuzağıdır.",🏘️ Where to Stay?,"- **Gracia:** Once a separate village, now the bohemian heart. Pedestrian squares, independent boutiques, and a very strong local community feel.
- **El Born:** Medieval charm meets nightlife. Narrow maze-like streets filled with cocktail bars and galleries.
- **Eixample:** If you love architecture and broad avenues. Safe, central, and elegant.
- **Note:** Avoid staying right on *La Rambla*. It's noisy and overpriced."
Barcelona,3,🍽️ Ne Yenir ve İçilir?,"- **Peçete Kuralı:** Geleneksel tapas barlarında yerde ne kadar çok peçete varsa, orası o kadar iyidir! Lezzetin ve kalabalığın işaretidir.
- **Pintxos Deneyimi:** *Carrer de Blai* sokağına gidin. Yan yana onlarca bar, tezgahlarında ""pintxos"" (ekmek üstü atıştırmalıklar) sunar. Bar bar gezmek buranın adeti.
- **Paella Uyarısı:** İyi bir paella pişmesi en az 20 dakika sürer. Önünüze 5 dakikada geliyorsa bilin ki donmuş üründür. Ayrıca yerliler paellayı öğlen yer, akşam değil.
- **Ne İçilir:** Sangria genellikle turistlere satılır. Yerliler gibi ""Tinto de Verano"" (Limonlu gazozlu şarap) veya ""Cava"" (Katalan şampanyası) tercih edin.",🥘 Tapas & Dining Etiquette,"- **The ""Napkin Rule"":** In traditional tapas bars, dirty napkins on the floor are a good sign—it means the food is delicious and the place is busy!
- **Pintxos Experience:** Head to *Carrer de Blai*. It's a street full of bars serving ""pintxos"" (bite-sized snacks on bread). Hop from one bar to another.
- **Paella Tip:** Good paella takes time (20+ mins). If it arrives in 5 minutes, it's frozen. Also, locals eat it for lunch, rarely for dinner.
- **Must Drink:** Forget Sangria (mostly for tourists). Try ""Tinto de Verano"" (summer red wine with lemon soda) or ""Cava"" (local sparkling wine)."
Barcelona,4,🚇 Ulaşım İpuçları,"- **Yürüyüş:** Eixample bölgesinin mimarisini görmenin tek yolu yürümektir. Kafanızı yukarı kaldırın ve binaların detaylarına bakın.
- **Hola Barcelona Kart:** Çok fazla metro kullanacaksanız ekonomik bir seçenek.
- **Havalimanı:** *Aerobus*, sizi hızlı ve konforlu bir şekilde doğrudan Plaça Catalunya'ya getirir.",🚇 Getting Around,"- **Walking:** The best way to appreciate the ""Modernista"" facades in Eixample. Look up!
- **Hola Barcelona Card:** Great value if you plan to use the metro extensively.
- **From Airport:** The *Aerobus* is fast, frequent, and comfortable, taking you directly to Plaça Catalunya."
Barcelona,5,💎 Şehir Dedikoduları & Sırlar,"- [Sagrada Familia](search:Sagrada Familia): Biletinizi haftalar önceden alın. İkindi vaktini tercih edin; güneş vitraylara vurduğunda içeride oluşan renk cümbüşü büyüleyicidir.
- [Park Güell](search:Park Güell): Anıtsal bölge paralıdır ama etrafındaki ormanlık park alanı ücretsizdir ve manzara hemen hemen aynıdır.
- **Güvenlik Uyarısı:** Yankesicilik konusunda dikkatli olun. Çantanızı asla sandalyenin arkasına asmayın, masanın üstünde telefon bırakmayın. Kucağınızda tutun.
- **Yemek Saatleri:** Öğle yemeği 14:00, akşam yemeği 21:00'den sonra başlar. Midenizi buna göre ayarlayın!",💎 Local Insights,"- [Sagrada Familia](search:Sagrada Familia): Book weeks in advance. Visit in the late afternoon when the sun hits the stained glass—the light show inside is spiritual.
- [Park Güell](search:Park Güell): The monumental zone requires a ticket, but the surrounding forest area is free and offers similar views with fewer crowds.
- **Safety Specifics:** Pickpocketing is real. Never hang your bag on the back of your chair at a cafe. Keep belongings on your lap or in front of you.
- **Meal Times:** Lunch is around 2 PM, dinner starts after 9 PM. Adjust your stomach clock!"
Belgrad,1,📅 Ne Zaman Gidilir?,"- **İlkbahar:** Parkların yeşillendiği ve nehir kenarının canlandığı en güzel zaman.
- **Yaz:** ""Splavovi"" denen nehir kulüpleri açılır ve şehir tam anlamıyla sabaha kadar parti moduna girer.",📅 Best Time to Visit,"- **Spring:** The best time for walking tours as parks turn green and the riverside wakes up.
- **Summer:** The ""Splavovi"" (river clubs) open their doors, and the city enters full party mode until sunrise."
Belgrad,2,🏘️ Semt Rehberi,"- **Stari Grad (Eski Şehir):** Knez Mihailova caddesi ve çevresi. Alışveriş, kafeler ve şehrin kalbi.
- **Dorćol:** Eski Türk mahallesi. Şimdi şehrin en havalı kafelerinin ve barlarının olduğu hipster bölgesi.
- **Vračar:** Aziz Sava Katedrali'nin bulunduğu, geniş caddeli ve şık bir bölge.
- **Zemun:** Eskiden Avusturya-Macaristan toprağı olan bu nehir kenarı kasabası, balık restoranları ve Arnavut kaldırımlı sokaklarıyla çok farklı bir hava sunar.",🏘️ Neighborhood Guide,"- **Stari Grad (Old Town):** Centered around Knez Mihailova Street. Shopping, cafes, and the historic heart.
- **Dorćol:** The historic Ottoman quarter, now the coolest hipster district filled with coffee shops and bars.
- **Vračar:** An upscale area with wide boulevards, home to the massive Saint Sava Temple.
- **Zemun:** Formerly an Austro-Hungarian town, this riverside neighborhood offers seafood restaurants and cobblestone streets with a distinct Central European vibe."
Belgrad,3,🍽️ Ne Yenir ve İçilir?,"- **Cevapi (Cevapcici):** Balkan köftesi. *Walter* gibi zincirlerde veya yerel restoranlarda, yanında ""kajmak"" (kaymak) ve soğanla yiyin.
- **Burek:** Bizim böreğimiz ama daha yağlı ve doyurucu. Kahvaltının vazgeçilmezidir.
- **Rakija:** Erik, ayva veya kayısıdan yapılan sert meyve rakısı. Yemeğin üstüne ""şifa niyetine"" ikram edilir.",🍽️ Food & Drink,"- **Cevapi:** Balkan meatballs. Try them at spots like *Walter*, served with ""kajmak"" (clotted cream) and onions.
- **Burek:** A flaky pastry filled with meat or cheese. A greasy but delicious breakfast staple.
- **Rakija:** A strong fruit brandy (usually plum, quince, or apricot). Often offered after meals as a digestive."
Belgrad,4,💎 Lokal Sırlar & İpuçları,"- **[Kalemegdan](search:Belgrade Fortress):** Gün batımında kaleye çıkın ve iki nehrin (Sava ve Tuna) birleştiği noktayı izleyin. ""Victor"" heykeli buranın sembolüdür.
- **[Skadarlija](search:Skadarlija):** Belgrad'ın Montmartre'ı. Canlı müzik, çiçekli restoranlar ve eski bohem hava. Turistik ama görülmeye değer.
- **[Nikola Tesla Müzesi](search:Nikola Tesla Museum):** Dünyanın en büyük mucitlerinden birine adanmış bu küçük müzede, elektrik deneyimlerini bizzat yaşayabilirsiniz.",💎 Local Secrets & Insights,"- **[Kalemegdan Fortress](search:Belgrade Fortress):** Visit at sunset to watch the confluence of the Sava and Danube rivers. The ""Victor"" monument stands guard here.
- **[Skadarlija](search:Skadarlija):** Belgrade's Bohemian quarter. Live folk music, flower-adorned restaurants, and a vintage atmosphere. Touristy but charming.
- **[Nikola Tesla Museum](search:Nikola Tesla Museum):** A small but interactive museum dedicated to one of the greatest inventors of all time. You can participate in live electrical demonstrations."
Berlin,1,📅 Ne Zaman Gidilir?,"- **Yaz (Haziran-Ağustos):** Şehir tam anlamıyla sokağa dökülür. Kanalların kenarında piknikler, açık hava sinemaları ve bitmek bilmeyen festivaller.
- **Aralık:** Berlin, Avrupa'nın en iyi Noel pazarlarına ev sahipliği yapar. Soğuktur ama atmosfer büyüleyicidir.
- **İpucu:** Pazar günleri Berlin'de vites düşer. Mauerpark'taki devasa bit pazarı ve karaoke etkinliği bir Berlin klasiğidir.",📅 Best Time to Visit,"- **Summer (June-August):** The city literally moves outdoors. Picnics by the canals, open-air cinemas, and non-stop street festivals.
- **December:** Berlin hosts some of the best Christmas markets in the world. It’s cold, but the magical atmosphere is worth it.
- **Tip:** Sundays are slow in Berlin. Spending the day at Mauerpark for the massive flea market and outdoor karaoke is a local rite of passage."
Berlin,2,🏘️ Semt Rehberi,"- **Mitte:** Şehrin tarihi kalbi. Müzeler Adası, Brandenburg Kapısı ve ana turistik noktalar burada.
- **Kreuzberg:** Berlin'in alternatif ve çok kültürlü yüzü. Sanat galerileri, meşhur gece hayatı ve harika Türk mutfağı.
- **Prenzlauer Berg:** Daha nezih, aile dostu ve ""hipster"" bir bölge. Şık kafeler ve butik dükkanlarla dolu.
- **Friedrichshain:** Gece hayatının ve sokak sanatının merkezi. East Side Gallery (Duvarın kalıntıları) burada yer alır.",🏘️ Neighborhood Guide,"- **Mitte:** The historic heart. Home to Museum Island, Brandenburg Gate, and the major tourist landmarks.
- **Kreuzberg:** The alternative, multicultural soul of Berlin. Known for its art galleries, legendary nightlife, and incredible Turkish food.
- **Prenzlauer Berg:** More upscale, family-friendly, and hipster-chic. Filled with stylish cafes and independent boutiques.
- **Friedrichshain:** The hub of nightlife and street art. This is where you'll find the East Side Gallery (remnants of the Wall)."
Berlin,3,🍽️ Ne Yenir ve İçilir?,"- **Döner Kebab:** Berlin stili döner bir dünya markasıdır. *Mustafa's Gemüse Kebap* gibi popüler yerlerin önündeki uzun kuyruklara hazırlıklı olun.
- **Currywurst:** Üzerine köri serpilmiş sosis. Berlin'in ikonik sokak lezzetidir.
- **Biergarten Kültürü:** Hava güzelse bir ""Biergarten""a (Bira bahçesi) gidip yerlilerle uzun masalarda oturmak bir zorunluluktur.
- **Nakit Paradoks:** Berlin gibi modern bir şehirde bile birçok küçük dükkan ve kafe hala ""Nur Cash"" (Sadece Nakit) çalışır. Yanınızda mutlaka Euro bulundurun.",🍽️ Food & Dining Etiquette,"- **Döner Kebab:** Berlin-style döner is a global icon. Be prepared for long waits at famous spots like *Mustafa's Gemüse Kebap*.
- **Currywurst:** Sliced sausage with curry-spiced ketchup. It’s the quintessential Berlin street snack.
- **Biergarten Culture:** When the weather is fine, sitting at long communal tables in a Biergarten is a mandatory social experience.
- **The Cash Paradox:** Despite being a modern tech hub, many small shops and cafes in Berlin remain ""Nur Cash"" (Cash Only). Always carry Euros."
Berlin,4,🚇 Ulaşım İpuçları,"- **S-Bahn ve U-Bahn:** Şehir inanılmaz bir raylı sistem ağına sahiptir. Google Maps veya BVG uygulamasıyla her yere kolayca gidersiniz.
- **Bisiklet:** Berlin düz bir şehirdir ve harika bisiklet yolları vardır. Şehri keşfetmenin en özgür yolu bisiklet kiralamaktır.
- **Bilet Onayı:** Biletinizi makineye okutmayı (validate) sakın unutmayın; kontrolörler çok katıdır.",🚇 Transportation Tips,"- **S-Bahn & U-Bahn:** The rail network is extensive and efficient. Use the BVG app to navigate seamlessly everywhere.
- **Cycling:** Berlin is flat and extremely bike-friendly. Renting a bike is the most liberating way to explore the different districts.
- **Validation:** Always validate your paper ticket at the yellow or red machines on the platform; inspectors are strict and fines are high."
