Şehir;Yer Adı;Kategori;Bölge;Rating;Açıklama (TR);Description (EN)
Amsterdam;Brouwerij de Prael;Restoran;Red Light District;4.6;Kırmızı Fener Mahallesi'nde yer alan, sosyal sorumluluk projesi olarak kurulan ve harika bira çeşitleri sunan butik bir bira fabrikası ve barı.;A boutique brewery and bar located in the Red Light District, established as a social enterprise and offering an excellent variety of beers.
Amsterdam;CIMA Rooftop Bar;Restoran;Hekelveld 10;4.8;Amsterdam'nin sevilen restoranlarından biri. Yerel lezzetler ve özenli sunum ile gurme bir deneyim sunuyor.;Rooftop bar with panoramic Amsterdam views and cocktails.
Amsterdam;Cafe Chris;Bar;Jordaan;4.4;Cafe Chris, Jordaan gece hayatının nabzını tutan, enerjisi yüksek bir mekan. Özel kokteylleri, müziği ve canlı atmosferiyle arkadaşlarınızla keyifli vakit geçirebileceğiniz popüler bir adres.;Cafe Chris is one of the most exciting stops in Amsterdam's nightlife. This venue in Jordaan adds color to the night with its special cocktails, live music and energetic atmosphere.
Amsterdam;Cafe Pollux;Bar;Prins Hendrikkade 121;4.7;"Prins Hendrikkade üzerinde, gerçek Amsterdam ruhunu yaşatan tarihi bir ""kahverengi kafe"". Jukebox'ı ve Salı akşamları düzenlenen eğlenceli bingo geceleriyle ünlü.";Dark, funky haunt for coffee, breakfast & lunch, plus a lively pub scene in the evening.
Amsterdam;Cafe Sonneveld;Cafe;De Pijp;4.3;Cafe Sonneveld, De Pijp gece hayatının nabzını tutan, enerjisi yüksek bir mekan. Özel kokteylleri, müziği ve canlı atmosferiyle arkadaşlarınızla keyifli vakit geçirebileceğiniz popüler bir adres.;Cafe Sonneveld is one of the most exciting stops in Amsterdam's nightlife. This venue in De Pijp adds color to the night with its special cocktails, live music and energetic atmosphere.
Amsterdam;Café Chris;Bar;Bloemstraat 42;4.7;Dating back to 1624, this cozy, wood-paneled haunt features beer on tap & a pool table.;Dating back to 1624, this cozy, wood-paneled haunt features beer on tap & a pool table.
Amsterdam;Café De Dokter;Cafe;Rozenboomsteeg 4;4.8;Amsterdam'ın en küçük pub'ı (18m2). 1798'den beri değişmeyen antika dekoru, tozlu şişeleri ve fonda çalan caz müziğiyle zamanın durduğu yer.;Quaint, storied bar with vintage decor serving a variety of beers, including drafts, plus cocktails.
Amsterdam;Café Enté;Cafe;Lindengracht 31h;4.8;Amsterdam'nin popüler kafelerinden biri. Kahve tutkunları için mükemmel bir mola noktası, samimi atmosfer ve lezzetli atıştırmalıklar.;Cozy Dutch café with quality coffee and light bites.
Amsterdam;Café Kompleet | Buurtcafé met Nederlandse keuken;Cafe;Eerste Constantijn Huygensstraat 45H;4.8;Amsterdam'nin popüler kafelerinden biri. Kahve tutkunları için mükemmel bir mola noktası, samimi atmosfer ve lezzetli atıştırmalıklar.;Neighborhood café with Dutch cuisine and local atmosphere.
Amsterdam;Café de Klos;Cafe;Centrum;4.6;Amsterdam'ın en meşhur kaburgacısı. Loş ışıkları, kasap tarzı sunumu ve efsanevi dumanlı lezzetleriyle et severlerin kentin en sevdiği gizli duraklarından biri.;A legendary Amsterdam institution famous for its smoked ribs and rustic atmosphere. It's a no-nonsense spot where the focus is entirely on exceptional meat and great beer.
Amsterdam;Café de Vergulde Gaper;Cafe;Jordaan;4.5;Jordaan mahallesindeki en eski 'kahverengi kafelerden' biri. Kanal manzaralı terasında oturup Hollanda birası ve bitterballen eşliğinde yerel hayatı izlemek gibisi yok.;A classic Jordaan 'brown cafe' located on a beautiful corner. Ideal for a canal-side beer, traditional snacks like bitterballen, and watching the boats go by.
Amsterdam;Cape Town Social Club;Restoran;Raamstraat 27;4.8;Amsterdam'nin sevilen restoranlarından biri. Yerel lezzetler ve özenli sunum ile gurme bir deneyim sunuyor.;South African-inspired social club with unique drinks and food.
Amsterdam;Casa Lisa;Restoran;Dorpsplein 72;4.8;Amsterdam'nin sevilen restoranlarından biri. Yerel lezzetler ve özenli sunum ile gurme bir deneyim sunuyor.;Italian restaurant with homestyle cooking and warm hospitality.
Amsterdam;CatuaBar Amsterdam;Restoran;Andreas Bonnstraat 40H;5;Amsterdam'nin sevilen restoranlarından biri. Yerel lezzetler ve özenli sunum ile gurme bir deneyim sunuyor.;Coffee bar named after the Catuai coffee variety with specialty brews.
Amsterdam;Chef Adrienne | Private Dining Amsterdam;Restoran;Valeriusstraat 250 H;4.9;Tarihi bir konakta, Fransız ve İtalyan teknikleriyle hazırlanan özel akşam yemekleri. Şef Adrienne'in kişisel dokunuşlarıyla ev sıcaklığında lüks.;Modern French & Italian dishes with global flourishes, served in an elegant private dining room.
Amsterdam;Chez Rosie;Cafe;Kinkerstraat 51;4.9;Amsterdam'nin popüler kafelerinden biri. Kahve tutkunları için mükemmel bir mola noktası, samimi atmosfer ve lezzetli atıştırmalıklar.;French bistro with Parisian charm and quality cuisine.
Amsterdam;Ciel Bleu;Restoran;Ferdinand Bolstraat 333;4.7;Hotel Okura'nın 23. katında, iki Michelin yıldızlı gastronomi tapınağı. Panoramik şehir manzarası eşliğinde unutulmaz bir lezzet yolculuğu.;Posh venue on the 23rd floor of the Hotel Okura offering creative European fare & views of the city.
Amsterdam;Coffee Bru;Cafe;Van Woustraat 113;4.8;Amsterdam'nin popüler kafelerinden biri. Kahve tutkunları için mükemmel bir mola noktası, samimi atmosfer ve lezzetli atıştırmalıklar.;Specialty coffee focused on quality brewing and beans.
Amsterdam;Colette's Private Dining;Restoran;Groen van Prinstererstraat 27;4.9;Amsterdam'nin sevilen restoranlarından biri. Yerel lezzetler ve özenli sunum ile gurme bir deneyim sunuyor.;Exclusive private dining experience with refined cuisine.
Amsterdam;Coster Diamonds;Deneyim;Museumplein;4.5;Dünyanın en eski elmas parlatma fabrikalarından biri. Elmasların nasıl kesildiğini görebileceğiniz ücretsiz turlar sunar.;One of the world's oldest diamond polishing factories. Offers free tours where you can see how diamonds are cut.
Amsterdam;Craft Wine;Deneyim;Frans Halsstraat 35;5;Yerel kültürü keşfetmek ve otantik anılar biriktirmek için kaçırılmaması gereken bir deneyim.;Wine bar with curated craft wines and expert guidance.
Amsterdam;Dak Showroom by Dak Coffee Roasters;Cafe;Bellamyplein 16H;4.8;Amsterdam'nin popüler kafelerinden biri. Kahve tutkunları için mükemmel bir mola noktası, samimi atmosfer ve lezzetli atıştırmalıklar.;Showroom café by local coffee roasters with quality brews.
Amsterdam;Dam Meydanı (Dam Square);Deneyim;Centrum;4.6;Amsterdam'ın kalbi ve en ünlü meydanı. Royal Palace, Nieuwe Kerk ve Ulusal Anıt burada yer alır. Her zaman canlı ve hareketlidir.;The heart of Amsterdam and its most famous square. Home to the Royal Palace, Nieuwe Kerk, and the National Monument. Always lively and bustling.
Amsterdam;De 9 Straatjes;Cafe;Centrum;4.5;Ana kanalları birbirine bağlayan, butik dükkanlar, antika mağazaları ve şık kafelerle dolu dokuz dar sokak. Alışverişten ziyade bir atmosfer keşfi.;Nine picturesque alleys connecting the main canals, packed with unique boutiques, vintage stores, and cozy cafes. A perfect spot for a scenic wander and authentic local shopping.
Amsterdam;De Kas;Restoran;Kamerlingh Onneslaan 3;4.7;Bölgede yetişen ürünlerle hazırlanan organik Akdeniz yemeklerinin servis edildiği, bahçe içinde yer alan şık sera.;Bölgede yetişen ürünlerle hazırlanan organik Akdeniz yemeklerinin servis edildiği, bahçe içinde yer alan şık sera.
Amsterdam;De Laatste Kruimel;Restoran;Centrum;4.5;Adı gibi 'son kırıntısına kadar' yiyeceğiniz nefis pastalar ve sandviçler. Kanala bakan minik balkonu ve rustik dekorasyonuyla kentin en şirin kafesi.;A tiny, rustic bakery famous for its overflowing display of handmade cakes, quiches, and scones. Try to snag the small balcony overlooking the canal.
Amsterdam;De Nada - Music, Wine & Food Bar;Bar;Uiterwaardenstraat 99;4.8;Amsterdam'nin atmosferik barlarından biri. Özenle hazırlanmış kokteyller, samimi ortam ve yerel içki seçenekleriyle gece hayatının vazgeçilmez durağı.;Music bar with wine and food in relaxed atmosphere.
Amsterdam;De Negen Straatjes (9 Sokak);Deneyim;Canal Ring;4.6;Kanal kuşağını kesen dokuz küçük sokak. Bağımsız tasarımcıların, vintage dükkanların ve yerel kafelerin merkezidir.;Nine small streets intersecting the canal belt. The center for independent designers, vintage shops, and local cafes.
Amsterdam;De Pijp Mahallesi;Bar;De Pijp;4.5;De Pijp Mahallesi, şehrin en karakteristik bölgelerinden biri. Renkli sokakları, yerel dükkanları ve kendine has dokusuyla De Pijp ruhunu en iyi yansıtan, keşfetmeye doyamayacağınız bir semt.;De Pijp Mahallesi is a noteworthy destination in Amsterdam's De Pijp district. With its unique features and experiences, it offers unforgettable moments to visitors. As one of the most visited places in the area, it deserves a spot on every traveler's list.
Amsterdam;De Sering;Restoran;Rhoneweg 6;4.9;Amsterdam'nin sevilen restoranlarından biri. Yerel lezzetler ve özenli sunum ile gurme bir deneyim sunuyor.;Classic Dutch café with traditional atmosphere.
Amsterdam;Deguelle Patisserie;Cafe;Eerste Oosterparkstraat 128hs;4.8;Amsterdam'nin popüler kafelerinden biri. Kahve tutkunları için mükemmel bir mola noktası, samimi atmosfer ve lezzetli atıştırmalıklar.;French patisserie with elegant pastries and desserts.
Amsterdam;Desi Cakes;Cafe;Jacques Veltmanstraat 75;4.9;Amsterdam'nin popüler kafelerinden biri. Kahve tutkunları için mükemmel bir mola noktası, samimi atmosfer ve lezzetli atıştırmalıklar.;South Asian-inspired bakery with creative cakes and treats.
Amsterdam;Door 74;Bar;Centrum;4.6;Amsterdam'ın ilk 'speakeasy' barı. Gizli bir kapının ardında, özel kokteylleri ve 1920'lerin atmosferiyle sunulan elit bir gece hayatı deneyimi.;The city's first speakeasy bar, hidden behind an unmarked door. Offers a sophisticated Art Deco vibe and award-winning cocktails in an intimate setting.
Amsterdam;Dutch Courage | Cocktail Bar Amsterdam;Bar;Zeedijk 12;4.7;Amsterdam'nin atmosferik barlarından biri. Özenle hazırlanmış kokteyller, samimi ortam ve yerel içki seçenekleriyle gece hayatının vazgeçilmez durağı.;Gin-focused cocktail bar inspired by Dutch bravery.
Amsterdam;EYE Film Museum;Müze;Noord;4.4;IJ Nehri kıyısındaki o meşhur bembeyaz bina. Sinema tarihine adanmış sergileri, nadir film koleksiyonları ve nehir manzaralı muazzam terasıyla bir mimari harikası.;An architectural marvel on the waterfront, this museum is the national treasury for film and cinematography, featuring immersive exhibitions and a grand cafe.
Amsterdam;Electric Ladyland;Müze;Jordaan;4.8;Dünyanın tek floresan sanat müzesi. Ultraviyole ışık altında parlayan mineraller ve sanat eserleriyle büyüleyici bir deneyim sunar.;The world's only museum of fluorescent art. Offers a fascinating experience with minerals and artworks that glow under ultraviolet light.
Amsterdam;Elevate Coffee Lab;Cafe;Van der Helstplein 10H;4.9;Amsterdam'nin popüler kafelerinden biri. Kahve tutkunları için mükemmel bir mola noktası, samimi atmosfer ve lezzetli atıştırmalıklar.;Elevated coffee laboratory with innovative brewing methods.
Amsterdam;Embassy of the Free Mind;Müze;Centrum;4.8;Tarihi bir kanal evinde yer alan, felsefe, astronomi ve mistisizm gibi nadir konulara odaklanan benzersiz bir kütüphane ve müze.;A unique library and museum focusing on rare subjects like philosophy, astronomy, and mysticism, housed in a historic canal house.
Amsterdam;FEBO Amsterdam (Otomatik Atıştırmalık);Restoran;Tüm Şehir;4.0;Duvarlardaki küçük kapaklı bölmelerden bozuk para karşılığı sıcak atıştırmalıklar alabildiğiniz, Amsterdam'ın ikonik otomatik yemek zinciri.;Amsterdam's iconic automated food chain, where you can buy hot snacks from small compartments in the wall with a few coins.
Amsterdam;Fabus;Restoran;De Clercqstraat 105H;4.8;Amsterdam'nin sevilen restoranlarından biri. Yerel lezzetler ve özenli sunum ile gurme bir deneyim sunuyor.;Modern venue with quality food and drinks.
Amsterdam;Fashion for Good Museum;Müze;Centrum;4.5;Sürdürülebilir moda ve tekstil inovasyonuna adanmış dünyanın ilk interaktif müzesi.;The world's first interactive museum dedicated to sustainable fashion and textile innovation.
Amsterdam;Fitz's Bar Amsterdam;Bar;Mauritskade 61;4.9;Amsterdam'nin atmosferik barlarından biri. Özenle hazırlanmış kokteyller, samimi ortam ve yerel içki seçenekleriyle gece hayatının vazgeçilmez durağı.;Classic cocktail bar with prohibition-era vibes.
Amsterdam;Flamingo’s Gastro & Cocktailbar;Bar;Kinkerstraat 369;4.9;Amsterdam'nin atmosferik barlarından biri. Özenle hazırlanmış kokteyller, samimi ortam ve yerel içki seçenekleriyle gece hayatının vazgeçilmez durağı.;Stylish bar with quality drinks and welcoming atmosphere.
Amsterdam;Florentin brunch;Restoran;Eerste Sweelinckstraat 20;4.8;Amsterdam'nin sevilen restoranlarından biri. Yerel lezzetler ve özenli sunum ile gurme bir deneyim sunuyor.;Israeli-style brunch spot with Middle Eastern flavors.
Amsterdam;Foam (Photography Museum);Müze;Keizersgracht;4.5;Foam (Photography Museum), Amsterdam'nin sanat sahnesinin nabzını tutan önemli bir kültür merkezi. Keizersgracht bölgesindeki modern binası, kalıcı ve geçici sergiler, atölye çalışmaları ve özel etkinlikleriyle yıl boyunca ziyaret edilmeye değer.;World famous photography museum. Both classic and contemporary exhibitions. Must stop for art lovers.
Amsterdam;Foodhallen;Deneyim;Oud-West;4.4;Eski bir tramvay deposunun (De Hallen) içine kurulmuş devasa yemek holü. Dünyanın dört bir yanından yerel lezzetlerin ve şık barların buluştuğu sosyal bir merkez.;Set in a renovated former tram depot, this vibrant indoor market features a huge variety of international street food stalls and bars under one industrial-chic roof.
Amsterdam;Friedhats FUKU Cafe;Cafe;Bos en Lommerweg 136 HS;4.8;Amsterdam'nin popüler kafelerinden biri. Kahve tutkunları için mükemmel bir mola noktası, samimi atmosfer ve lezzetli atıştırmalıklar.;Asian-inspired café with fusion flavors and coffee.
Amsterdam;Gassan Diamonds;Deneyim;Centrum;4.6;Tarihi bir buharlı elmas fabrikasında yer alan, dünyanın en ünlü elmas kesim ve mücevher merkezlerinden biri.;One of the world's most famous diamond cutting and jewelry centers, located in a historic steam-powered diamond factory.
Amsterdam;Gentle Place Coffee;Cafe;Distelweg 409;4.9;Amsterdam'nin popüler kafelerinden biri. Kahve tutkunları için mükemmel bir mola noktası, samimi atmosfer ve lezzetli atıştırmalıklar.;Calm specialty coffee shop with quality brewing.
Amsterdam;Good Beans;Cafe;Binnen Oranjestraat 4;4.8;Amsterdam'nin popüler kafelerinden biri. Kahve tutkunları için mükemmel bir mola noktası, samimi atmosfer ve lezzetli atıştırmalıklar.;Quality coffee beans and expert brewing in cozy setting.
Amsterdam;Graham's Kitchen;Restoran;Hemonystraat 38;4.8;Şef Graham Mee'nin yönettiği, lezzetin ön planda olduğu rahat bir fine-dining restoranı. 3-6 çeşitli tadım menüleri, şaşırtıcı lezzet kombinasyonları sunuyor.;Modern European dishes plus a prix-fixe menu in a relaxed, whitewashed setting with wooden floors.
Amsterdam;Grote Markt Haarlem;Deneyim;Haarlem;4.7;'Minik Amsterdam'. Turist kalabalığı yok, aynı güzellik. Trenle sadece 15 dakika. Alışveriş için harika.;'Little Amsterdam'. No tourist crowds, same beauty. Only 15 mins by train. Great for shopping.
Amsterdam;H'ART Museum (Eski Hermitage);Müze;Centrum;4.5;Amstel Nehri kıyısında 17. yüzyıldan kalma tarihi bir binada yer alan sanat müzesi. Dünyanın önde gelen müzeleriyle işbirliği içinde dev sergiler sunar.;An art museum housed in a historic 17th-century building on the banks of the Amstel River. Host to major exhibitions in collaboration with leading world museums.
Amsterdam;H.Murray's Amsterdam;Restoran;Nieuwebrugsteeg 15;4.8;Amsterdam'nin sevilen restoranlarından biri. Yerel lezzetler ve özenli sunum ile gurme bir deneyim sunuyor.;Classic bar with refined drinks and elegant atmosphere.
Amsterdam;Haarlemmerstraat;Alışveriş;Centrum-West;4.7;Amsterdam'ın en iyi alışveriş caddelerinden biri. Bağımsız butikleri, özel peynir dükkanları ve Michelin yıldızlı olmayan yerel favori lokantalarıyla ünlüdür.;One of Amsterdam's best shopping streets. Famous for its independent boutiques, specialty cheese shops, and non-Michelin starred local favorite eateries.
Amsterdam;Hannekes Boom;Restoran;Centrum;4.4;Merkez istasyona yakın, nehir kıyısında salaş ve çok popüler bir teras. Geri dönüştürülmüş mobilyaları ve harika gün batımı manzarasıyla kentin en rahat barı.;A colorful, rustic waterfront hangout built mostly from salvaged materials. It's the ultimate spot for a relaxed sunset beer with a panoramic view of the IJ.
Amsterdam;Hans Egstorf;Cafe;Spuistraat 274;4.8;Amsterdam'nin popüler kafelerinden biri. Kahve tutkunları için mükemmel bir mola noktası, samimi atmosfer ve lezzetli atıştırmalıklar.;Traditional Dutch establishment with local character.
Amsterdam;Hans Egstorf (Bakery);Cafe;Centrum;4.8;1898'den beri hizmet veren Amsterdam'ın en eski fırınlarından biri. İnanılmaz stroopwafelleri ve taze hamur işleriyle tanınır.;One of Amsterdam's oldest bakeries, serving since 1898. Renowned for its incredible stroopwafels and fresh pastries.
Amsterdam;Hartog's Wholegrain Bakery and Milling;Cafe;Wibautstraat 77;4.8;Amsterdam'nin popüler kafelerinden biri. Kahve tutkunları için mükemmel bir mola noktası, samimi atmosfer ve lezzetli atıştırmalıklar.;Artisan bakery specializing in wholegrain breads and milling.
Amsterdam;Hearth;Restoran;Camperstraat 26H;4.8;Amsterdam'nin sevilen restoranlarından biri. Yerel lezzetler ve özenli sunum ile gurme bir deneyim sunuyor.;Warm, hearth-inspired restaurant with quality cuisine.
Amsterdam;Heineken Experience;Deneyim;De Pijp;4.3;Dünyaca ünlü biranın eski fabrikasında interaktif bir yolculuk. Bira yapım sürecini keşfedip sonunda kentin manzarasına karşı tadım yapabileceğiniz popüler bir durak.;An interactive tour through the historic former brewery of Heineken. Learn about the brewing process, the brand's history, and enjoy a cold beer at the rooftop bar.
Amsterdam;Het Scheepvaartmuseum (Denizcilik Müzesi);Müze;Oost;4.7;Hollanda'nın denizcilik tarihini anlatan etkileyici müze. Müzenin önünde demirli duran devasa 18. yüzyıl gemisi kopyasını (Amsterdam) gezebilirsiniz.;An impressive museum telling the story of Dutch maritime history. You can tour the massive 18th-century ship replica (Amsterdam) moored in front of the museum.
Amsterdam;Hollandsche Schouwburg (Ulusal Holokost Anıtı);Müze;Plantage;4.7;Eski bir tiyatro binası olan bu mekan, savaş sırasında Yahudilerin toplandığı bir merkezdi, bugün ise bir anıt ve müze olarak hizmet veriyor.;"Formerly a theater, this venue served as a collection center for Jews during the war; today it serves as a memorials and museum."
Amsterdam;Hollandse pot;Restoran;Lange Leidsedwarsstraat 134;4.8;Amsterdam'nin sevilen restoranlarından biri. Yerel lezzetler ve özenli sunum ile gurme bir deneyim sunuyor.;Traditional Dutch cuisine in authentic setting.
Amsterdam;Hortus Botanicus;Park;Plantage;4.5;1638 yılında kurulan, dünyanın en eski botanik bahçelerinden biri. Baharat ticaretinin kalbi olan kentin bitki mirasını devasa cam seralarda keşfedin.;Established in 1638, it's one of the world's oldest botanical gardens. A green oasis featuring incredible glass houses, exotic plants, and a huge water lily pond.
Amsterdam;IJ-Hallen Flea Market;Deneyim;Noord;4.5;Avrupa'nın en büyük bit pazarı. Ayda sadece bir veya iki kez devasa endüstriyel hangarlarda kurulur.;Europe's largest flea market, held only once or twice a month in massive industrial hangars.
Amsterdam;Joods Museum (Yahudi Müzesi);Müze;Jewish Cultural Quarter;4.6;Dört tarihi sinagogun içinde yer alan, Hollanda'daki Yahudi tarihi, dini ve kültürüne adanmış kapsamlı müze.;A comprehensive museum dedicated to Jewish history, religion, and culture in the Netherlands, housed within four historic synagogues.
Amsterdam;Jordaan;Tarihi;Jordaan;4.7;Dar sokakları, şirin kanalları, bağımsız butikleri ve gizli avlularıyla (hofjes) Amsterdam'ın en karakteristik ve fotogejik mahallesi.;Amsterdam's most characteristic and photogenic neighborhood, with its narrow streets, quaint canals, independent boutiques, and hidden courtyards (hofjes).
Amsterdam;KAFFEE;Cafe;Dapperplein 45;4.8;Amsterdam'nin popüler kafelerinden biri. Kahve tutkunları için mükemmel bir mola noktası, samimi atmosfer ve lezzetli atıştırmalıklar.;German-spelling coffee shop with quality espresso.
Amsterdam;Kafenion Amsterdam;Cafe;Bloemgracht 49;4.9;Jordaan'da küçük bir Yunan adası havası. Yunan usulü soğuk kahve (Freddo Cappuccino) ve el yapımı ıspanaklı börekleriyle (Spanakopita) meşhur.;Intimate cafe with a rustic vibe, serving up hearty pies by the slice, plus hot & cold coffees.
